event_id,latitude,longitude,soil_ph,soil_organic_carbon,soil_texture,soil_moisture,data_source,data_quality
ISRO-2000-0043,23.012858,92.592247,6.68,7.48,loam,63.37,soilgrids_synthetic,simulated
ISRO-2017-0044,25.147557,94.323014,6.64,13.12,clay loam,63.88,soilgrids_synthetic,simulated
ISRO-2012-0045,27.036215,92.982993,5.69,20.92,sandy clay loam,74.9,soilgrids_synthetic,simulated
ISRO-2021-0046,26.809867,92.808552,4.89,0.04,loam,53.26,soilgrids_synthetic,simulated
ISRO-2006-0047,26.399183,94.631266,4.91,2.88,silty clay loam,70.66,soilgrids_synthetic,simulated
ISRO-2021-0048,27.268952,95.14166,6.55,6.93,loam,59.3,soilgrids_synthetic,simulated
ISRO-2007-0049,27.243316,93.10888,6.34,94.05,clay loam,74.68,soilgrids_synthetic,simulated
ISRO-2012-0050,25.393048,91.856151,6.86,55.38,loam,36.59,soilgrids_synthetic,simulated
ISRO-2005-0051,27.809221,91.940647,5.22,32.95,loam,70.89,soilgrids_synthetic,simulated
ISRO-2000-0052,28.349552,94.782842,5.98,23.05,clay,32.55,soilgrids_synthetic,simulated
ISRO-2001-0053,25.138384,93.949102,6.1,82.63,loam,44.45,soilgrids_synthetic,simulated
ISRO-2013-0054,27.450741,88.469276,5.47,7.49,sandy loam,54.23,soilgrids_synthetic,simulated
ISRO-2015-0055,27.46899,88.370076,4.72,73.42,clay loam,51.31,soilgrids_synthetic,simulated
ISRO-2019-0056,27.127606,95.317311,5.73,41.9,clay loam,39.93,soilgrids_synthetic,simulated
ISRO-1999-0057,25.558154,90.771175,5.05,2.67,sandy clay loam,57.59,soilgrids_synthetic,simulated
ISRO-2022-0058,24.77928,94.54204,6.27,1.88,clay loam,54.07,soilgrids_synthetic,simulated
ISRO-2012-0059,24.599888,93.974617,5.01,2.04,loam,70.62,soilgrids_synthetic,simulated
ISRO-2000-0060,26.817047,92.889038,6.36,37.87,loam,58.54,soilgrids_synthetic,simulated
ISRO-2008-0061,26.858814,93.044153,6.32,27.14,clay,31.19,soilgrids_synthetic,simulated
ISRO-2012-0062,27.332886,95.301001,6.24,3.57,clay loam,51.59,soilgrids_synthetic,simulated
ISRO-2008-0063,26.563006,94.130329,5.63,3.17,sandy loam,32.7,soilgrids_synthetic,simulated
ISRO-2011-0064,26.649935,93.907225,6.84,47.08,loam,38.37,soilgrids_synthetic,simulated
ISRO-1999-0065,27.190306,88.517065,5.76,8.69,clay,51.48,soilgrids_synthetic,simulated
ISRO-2019-0066,26.136131,94.326806,4.82,26.0,loam,69.29,soilgrids_synthetic,simulated
ISRO-2017-0067,24.905481,94.193833,6.5,167.13,loam,51.33,soilgrids_synthetic,simulated
ISRO-2011-0068,26.331876,93.832953,6.55,12.92,loam,76.13,soilgrids_synthetic,simulated
ISRO-2001-0069,22.874123,92.746286,4.8,1.17,sandy loam,58.04,soilgrids_synthetic,simulated
ISRO-2002-0070,26.303552,93.672325,5.03,18.42,clay loam,59.11,soilgrids_synthetic,simulated
ISRO-2000-0071,27.471834,91.971794,5.48,3.95,clay,77.62,soilgrids_synthetic,simulated
ISRO-2007-0072,26.219764,94.419228,5.91,17.79,sandy clay loam,36.57,soilgrids_synthetic,simulated
ISRO-2020-0073,25.043562,94.275137,6.7,136.4,loam,62.51,soilgrids_synthetic,simulated
ISRO-2020-0074,23.565416,91.438753,5.88,1.71,clay loam,72.63,soilgrids_synthetic,simulated
ISRO-2005-0075,24.549239,93.653657,6.09,6.1,loam,68.23,soilgrids_synthetic,simulated
ISRO-2009-0076,27.630716,88.601664,4.57,53.65,clay loam,51.15,soilgrids_synthetic,simulated
ISRO-2016-0077,25.470044,91.026552,5.55,34.35,sandy loam,81.0,soilgrids_synthetic,simulated
ISRO-2016-0078,23.423246,91.411935,5.55,49.69,sandy loam,78.35,soilgrids_synthetic,simulated
ISRO-2022-0079,25.355788,91.546841,6.24,28.96,sandy clay loam,78.29,soilgrids_synthetic,simulated
ISRO-1998-0080,25.436351,92.474349,5.66,5.57,clay,30.25,soilgrids_synthetic,simulated
ISRO-2016-0081,26.650436,93.774482,6.88,34.73,sandy loam,81.86,soilgrids_synthetic,simulated
ISRO-2014-0082,25.264804,92.650678,5.21,61.43,clay,39.8,soilgrids_synthetic,simulated
ISRO-2019-0083,26.199472,94.74516,5.36,39.36,silty clay loam,68.62,soilgrids_synthetic,simulated
ISRO-2006-0084,23.80882,92.653716,5.09,19.74,sandy loam,44.52,soilgrids_synthetic,simulated
ISRO-2022-0085,26.500441,92.847606,5.12,0.27,clay loam,31.83,soilgrids_synthetic,simulated
ISRO-1999-0086,27.15099,94.958834,6.96,78.98,silty clay loam,59.12,soilgrids_synthetic,simulated
ISRO-2016-0087,23.520428,91.49227,4.81,7.77,sandy loam,46.49,soilgrids_synthetic,simulated
ISRO-2016-0088,23.545372,91.67672,6.09,18.15,sandy clay loam,64.91,soilgrids_synthetic,simulated
ISRO-2005-0089,27.630745,91.945987,4.56,27.74,clay,44.09,soilgrids_synthetic,simulated
ISRO-2018-0090,25.701277,92.843795,4.8,37.9,clay loam,51.66,soilgrids_synthetic,simulated
ISRO-2010-0091,26.266486,94.467921,5.11,8.27,clay loam,68.42,soilgrids_synthetic,simulated
ISRO-2009-0092,23.508044,91.506285,6.99,32.51,sandy loam,38.32,soilgrids_synthetic,simulated
ISRO-2003-0093,24.901036,94.047063,5.25,194.08,silty clay loam,52.28,soilgrids_synthetic,simulated
ISRO-2010-0094,27.294751,95.116547,5.11,64.66,silty clay loam,72.38,soilgrids_synthetic,simulated
ISRO-2004-0095,23.389932,92.791629,5.04,5.44,sandy loam,42.24,soilgrids_synthetic,simulated
ISRO-2015-0096,27.325227,88.173687,5.04,14.37,loam,64.07,soilgrids_synthetic,simulated
ISRO-2000-0097,27.060075,92.870819,6.93,42.11,sandy loam,81.97,soilgrids_synthetic,simulated
ISRO-2013-0098,25.331372,91.136469,5.47,15.14,loam,33.07,soilgrids_synthetic,simulated
ISRO-2022-0099,27.130768,88.45658,5.21,22.38,sandy loam,83.16,soilgrids_synthetic,simulated
ISRO-2005-0100,22.689054,92.564917,5.57,31.24,loam,79.76,soilgrids_synthetic,simulated
ISRO-2016-0101,26.008577,94.09501,6.64,8.44,sandy loam,66.23,soilgrids_synthetic,simulated
ISRO-2010-0102,26.545887,94.452004,5.34,2.62,clay loam,70.1,soilgrids_synthetic,simulated
ISRO-2020-0103,27.3181,95.260896,6.15,10.17,sandy clay loam,56.48,soilgrids_synthetic,simulated
ISRO-2018-0104,23.25908,91.647857,6.77,34.15,sandy clay loam,76.37,soilgrids_synthetic,simulated
ISRO-2007-0105,25.58881,91.112885,4.59,19.41,silty clay loam,61.97,soilgrids_synthetic,simulated
ISRO-1998-0106,23.948014,91.310115,4.51,19.77,clay loam,77.59,soilgrids_synthetic,simulated
ISRO-2001-0107,25.530775,91.939221,5.48,3.31,silty clay loam,50.21,soilgrids_synthetic,simulated
ISRO-2016-0108,27.689183,88.339526,5.32,27.66,sandy loam,31.72,soilgrids_synthetic,simulated
ISRO-2000-0109,25.201987,94.282786,6.94,35.28,clay,56.56,soilgrids_synthetic,simulated
ISRO-2022-0110,26.438572,94.309656,5.47,2.34,sandy loam,73.72,soilgrids_synthetic,simulated
ISRO-2008-0111,24.550887,94.117691,5.14,36.54,sandy loam,43.47,soilgrids_synthetic,simulated
ISRO-2002-0112,25.492281,91.319739,5.57,1.29,loam,72.71,soilgrids_synthetic,simulated
ISRO-2004-0113,25.251044,91.242883,4.68,34.23,clay loam,58.71,soilgrids_synthetic,simulated
ISRO-2021-0114,27.37626,95.197753,4.95,42.3,silty clay loam,61.18,soilgrids_synthetic,simulated
ISRO-2020-0115,26.542284,94.941183,5.95,25.44,loam,61.74,soilgrids_synthetic,simulated
ISRO-2000-0116,25.172898,94.158378,5.79,9.65,clay,48.8,soilgrids_synthetic,simulated
ISRO-2012-0117,24.917565,94.298016,4.75,23.31,clay,36.19,soilgrids_synthetic,simulated
ISRO-2021-0118,23.210328,92.898061,4.57,16.98,loam,38.53,soilgrids_synthetic,simulated
ISRO-2009-0119,27.972629,94.805123,5.19,6.57,loam,59.23,soilgrids_synthetic,simulated
ISRO-2004-0120,25.230627,91.62001,5.52,30.11,sandy loam,71.55,soilgrids_synthetic,simulated
ISRO-2011-0121,24.467282,93.715877,6.05,34.04,loam,84.87,soilgrids_synthetic,simulated
ISRO-2011-0122,24.653859,94.276592,6.33,61.26,clay loam,63.99,soilgrids_synthetic,simulated
ISRO-2009-0123,28.050226,94.715943,6.23,9.51,loam,72.2,soilgrids_synthetic,simulated
ISRO-2001-0124,27.510333,88.520694,5.29,1.44,clay loam,77.37,soilgrids_synthetic,simulated
ISRO-2017-0125,22.755977,93.011892,5.56,41.83,sandy clay loam,38.31,soilgrids_synthetic,simulated
ISRO-1999-0126,27.479131,88.214515,4.96,0.82,loam,37.1,soilgrids_synthetic,simulated
ISRO-2016-0127,24.48055,93.979976,5.93,12.39,sandy loam,70.0,soilgrids_synthetic,simulated
ISRO-2014-0128,27.473004,94.970127,6.39,32.24,loam,59.92,soilgrids_synthetic,simulated
ISRO-2014-0129,26.40124,94.223768,6.1,24.55,sandy clay loam,48.39,soilgrids_synthetic,simulated
ISRO-2010-0130,23.603543,92.65965,5.04,2.46,loam,72.6,soilgrids_synthetic,simulated
ISRO-2000-0131,27.383745,88.677759,6.06,3.81,clay loam,66.4,soilgrids_synthetic,simulated
ISRO-2019-0132,23.67334,91.383925,5.73,65.68,sandy loam,67.92,soilgrids_synthetic,simulated
ISRO-2020-0133,27.051261,88.32104,4.64,8.27,clay loam,76.31,soilgrids_synthetic,simulated
ISRO-2006-0134,28.338064,94.649838,4.87,4.86,clay,34.92,soilgrids_synthetic,simulated
ISRO-2009-0135,25.017969,94.576992,5.3,76.64,clay,37.7,soilgrids_synthetic,simulated
ISRO-2004-0136,27.506336,88.811937,4.66,21.77,loam,46.24,soilgrids_synthetic,simulated
ISRO-2010-0137,27.278226,95.070113,4.63,8.6,clay,61.7,soilgrids_synthetic,simulated
ISRO-2003-0138,26.258028,94.080285,4.57,3.26,clay,64.75,soilgrids_synthetic,simulated
ISRO-2001-0139,25.637168,92.507852,4.94,4.76,silty clay loam,75.41,soilgrids_synthetic,simulated
ISRO-2013-0140,24.71645,94.140411,6.12,9.81,clay,66.95,soilgrids_synthetic,simulated
ISRO-2014-0141,26.305922,94.366265,6.56,11.39,clay,74.14,soilgrids_synthetic,simulated
ISRO-2014-0142,26.546021,94.949711,5.33,3.77,clay loam,41.33,soilgrids_synthetic,simulated
ISRO-2009-0143,26.062388,93.67571,5.36,12.17,loam,49.41,soilgrids_synthetic,simulated
ISRO-2008-0144,23.710773,91.42441,6.25,26.33,sandy loam,65.91,soilgrids_synthetic,simulated
ISRO-2000-0145,27.026763,88.31692,6.38,14.03,sandy loam,73.66,soilgrids_synthetic,simulated
ISRO-1998-0146,27.376129,95.361564,6.3,1.65,loam,71.82,soilgrids_synthetic,simulated
ISRO-2018-0147,24.796378,94.047241,6.09,3.84,loam,32.43,soilgrids_synthetic,simulated
ISRO-2009-0148,26.133952,94.359595,6.73,30.32,loam,53.0,soilgrids_synthetic,simulated
ISRO-2002-0149,26.561554,92.749253,6.36,2.52,sandy loam,73.0,soilgrids_synthetic,simulated
ISRO-2019-0150,26.637798,92.986429,6.29,0.23,clay,56.21,soilgrids_synthetic,simulated
ISRO-2012-0151,27.625454,91.964273,5.96,33.09,clay,57.41,soilgrids_synthetic,simulated
ISRO-2004-0152,22.859328,92.928955,5.13,8.42,clay,64.74,soilgrids_synthetic,simulated
ISRO-2005-0153,26.432048,92.888326,5.87,24.55,clay loam,81.31,soilgrids_synthetic,simulated
ISRO-2002-0154,26.495132,94.684978,6.87,14.68,sandy loam,38.85,soilgrids_synthetic,simulated
ISRO-2002-0155,25.389764,91.957046,5.13,17.6,silty clay loam,66.64,soilgrids_synthetic,simulated
ISRO-2019-0156,22.810199,92.730379,5.69,34.7,sandy loam,52.67,soilgrids_synthetic,simulated
ISRO-2020-0157,26.514833,94.499916,6.52,8.44,clay loam,68.11,soilgrids_synthetic,simulated
ISRO-2016-0158,23.659904,91.61303,4.52,29.21,clay loam,76.66,soilgrids_synthetic,simulated
ISRO-2012-0159,27.453095,95.035171,4.94,29.58,sandy clay loam,47.25,soilgrids_synthetic,simulated
ISRO-2007-0160,26.342376,94.514026,6.21,44.16,clay loam,58.23,soilgrids_synthetic,simulated
ISRO-2006-0161,23.354335,92.66576,5.8,11.79,clay loam,69.46,soilgrids_synthetic,simulated
ISRO-2009-0162,26.133967,93.880909,5.74,12.32,loam,35.07,soilgrids_synthetic,simulated
ISRO-2000-0163,25.333031,91.111557,4.51,102.41,loam,69.81,soilgrids_synthetic,simulated
ISRO-2018-0164,25.713752,91.048697,6.17,31.09,loam,65.67,soilgrids_synthetic,simulated
ISRO-2012-0165,26.952309,88.069271,5.74,46.54,clay loam,55.89,soilgrids_synthetic,simulated
ISRO-2010-0166,25.482879,92.452737,6.08,10.12,sandy loam,59.08,soilgrids_synthetic,simulated
ISRO-2004-0167,27.930294,94.837454,6.87,53.75,loam,57.87,soilgrids_synthetic,simulated
ISRO-2002-0168,27.547136,88.589074,4.76,37.53,loam,62.25,soilgrids_synthetic,simulated
ISRO-2022-0169,22.953606,92.76249,6.93,24.31,clay,30.24,soilgrids_synthetic,simulated
ISRO-2005-0170,28.001898,94.887167,5.29,54.9,sandy loam,60.11,soilgrids_synthetic,simulated
ISRO-2014-0171,22.838367,92.859357,5.35,8.59,sandy loam,69.43,soilgrids_synthetic,simulated
ISRO-2002-0172,25.622071,90.098405,5.14,63.54,sandy loam,43.76,soilgrids_synthetic,simulated
ISRO-2014-0173,23.585705,92.767117,4.87,50.15,sandy loam,43.88,soilgrids_synthetic,simulated
ISRO-2021-0174,25.0702,92.202899,6.8,155.15,sandy loam,62.59,soilgrids_synthetic,simulated
ISRO-2000-0175,26.979912,88.467354,6.18,33.47,loam,44.04,soilgrids_synthetic,simulated
ISRO-2009-0176,26.081559,94.934376,6.28,11.34,silty clay loam,31.3,soilgrids_synthetic,simulated
ISRO-2019-0177,23.803922,92.66501,5.84,25.7,sandy loam,30.18,soilgrids_synthetic,simulated
ISRO-2011-0178,26.121748,94.099461,6.32,9.74,clay loam,30.4,soilgrids_synthetic,simulated
ISRO-2007-0179,26.045753,93.694877,5.74,6.88,sandy loam,46.09,soilgrids_synthetic,simulated
ISRO-1998-0180,27.128762,95.05291,5.64,21.72,loam,66.05,soilgrids_synthetic,simulated
ISRO-2003-0181,27.874559,94.526801,6.37,3.88,sandy clay loam,49.67,soilgrids_synthetic,simulated
ISRO-2013-0182,23.550934,92.650292,6.01,176.81,loam,71.56,soilgrids_synthetic,simulated
ISRO-2003-0183,25.268921,92.322847,5.32,0.96,silty clay loam,51.43,soilgrids_synthetic,simulated
ISRO-2014-0184,26.486427,92.76738,6.63,0.47,silty clay loam,54.69,soilgrids_synthetic,simulated
ISRO-2000-0185,27.298824,88.609775,4.59,26.93,clay,78.74,soilgrids_synthetic,simulated
ISRO-2008-0186,26.983413,88.346478,6.09,56.69,clay,81.57,soilgrids_synthetic,simulated
ISRO-2020-0187,25.287781,91.880165,5.78,2.43,silty clay loam,32.64,soilgrids_synthetic,simulated
ISRO-2019-0188,26.565533,94.123837,4.66,10.18,clay loam,35.22,soilgrids_synthetic,simulated
ISRO-2018-0189,22.902881,92.918287,6.12,35.58,sandy clay loam,54.69,soilgrids_synthetic,simulated
ISRO-2013-0190,24.923635,94.597344,6.91,5.93,clay loam,42.94,soilgrids_synthetic,simulated
ISRO-2005-0191,24.514696,94.091413,5.41,23.77,sandy clay loam,82.21,soilgrids_synthetic,simulated
ISRO-2001-0192,26.186715,94.604167,5.93,3.36,loam,39.17,soilgrids_synthetic,simulated
ISRO-2017-0193,25.623995,92.857537,5.23,9.24,loam,54.63,soilgrids_synthetic,simulated
ISRO-2009-0194,25.44603,92.570464,6.51,30.59,clay loam,56.36,soilgrids_synthetic,simulated
ISRO-2005-0195,26.134636,94.367999,5.14,24.16,sandy loam,35.93,soilgrids_synthetic,simulated
ISRO-2022-0196,22.956758,92.99489,5.94,47.9,sandy loam,57.49,soilgrids_synthetic,simulated
ISRO-2009-0197,23.397157,92.653681,4.8,10.09,silty clay loam,66.61,soilgrids_synthetic,simulated
ISRO-2017-0198,26.673918,94.447412,5.55,20.82,clay,41.29,soilgrids_synthetic,simulated
ISRO-2013-0199,27.519403,88.52232,6.85,35.66,sandy clay loam,63.0,soilgrids_synthetic,simulated
ISRO-2021-0200,22.85144,92.96706,6.86,29.16,clay,48.75,soilgrids_synthetic,simulated
ISRO-2020-0201,27.020028,88.388854,6.24,50.42,clay,64.54,soilgrids_synthetic,simulated
ISRO-2008-0202,27.566258,91.676517,5.59,0.01,silty clay loam,61.57,soilgrids_synthetic,simulated
ISRO-1998-0203,23.735584,92.747039,4.78,49.52,loam,66.13,soilgrids_synthetic,simulated
ISRO-2007-0204,27.123538,92.935772,5.63,81.44,silty clay loam,78.64,soilgrids_synthetic,simulated
ISRO-2014-0205,25.595201,91.241494,6.71,0.01,clay loam,84.0,soilgrids_synthetic,simulated
ISRO-2016-0206,27.098894,95.184116,4.56,2.61,loam,60.75,soilgrids_synthetic,simulated
ISRO-2020-0207,26.65136,94.083015,4.7,20.86,clay,71.13,soilgrids_synthetic,simulated
ISRO-2003-0208,23.973336,91.249598,6.27,24.43,clay loam,42.04,soilgrids_synthetic,simulated
ISRO-2020-0209,24.675499,94.07419,5.82,38.21,loam,52.77,soilgrids_synthetic,simulated
ISRO-2016-0210,25.314147,91.140419,6.54,1.53,sandy loam,48.95,soilgrids_synthetic,simulated
ISRO-2016-0211,23.660253,91.724676,6.62,4.7,clay loam,67.03,soilgrids_synthetic,simulated
ISRO-2012-0212,25.447551,91.143446,4.63,13.31,silty clay loam,31.43,soilgrids_synthetic,simulated
ISRO-2002-0213,26.447616,94.930313,5.67,15.32,silty clay loam,31.48,soilgrids_synthetic,simulated
ISRO-2009-0214,23.943314,92.296904,5.36,1.27,clay loam,33.93,soilgrids_synthetic,simulated
ISRO-2022-0215,23.591765,92.60066,6.51,8.17,sandy loam,46.31,soilgrids_synthetic,simulated
ISRO-1998-0216,23.660079,91.405959,5.84,12.57,sandy loam,72.57,soilgrids_synthetic,simulated
ISRO-1998-0217,26.448218,94.222574,5.92,1.07,silty clay loam,34.48,soilgrids_synthetic,simulated
ISRO-2020-0218,26.357962,94.015646,6.48,62.47,loam,30.48,soilgrids_synthetic,simulated
ISRO-2015-0219,25.06778,94.221997,5.85,15.83,loam,51.52,soilgrids_synthetic,simulated
ISRO-2020-0220,27.755876,91.724782,4.56,7.3,clay loam,43.86,soilgrids_synthetic,simulated
ISRO-2006-0221,27.134567,88.455886,6.04,11.84,sandy loam,57.86,soilgrids_synthetic,simulated
ISRO-2001-0222,27.763627,91.84012,5.12,13.07,loam,79.29,soilgrids_synthetic,simulated
ISRO-2015-0223,23.773696,91.223032,5.94,68.24,clay loam,61.36,soilgrids_synthetic,simulated
ISRO-2004-0224,26.671035,93.915101,5.86,59.8,sandy loam,72.47,soilgrids_synthetic,simulated
ISRO-2003-0225,26.594451,94.204898,5.45,21.11,clay loam,64.98,soilgrids_synthetic,simulated
ISRO-2013-0226,25.061773,93.91754,5.41,10.5,sandy loam,32.2,soilgrids_synthetic,simulated
ISRO-2008-0227,27.893356,94.561184,5.03,46.58,sandy loam,65.65,soilgrids_synthetic,simulated
ISRO-2017-0228,27.586278,91.799597,5.91,4.47,loam,52.54,soilgrids_synthetic,simulated
ISRO-2016-0229,23.285925,91.607844,6.56,22.34,sandy loam,55.34,soilgrids_synthetic,simulated
ISRO-2009-0230,25.340442,90.858458,4.66,11.02,loam,57.72,soilgrids_synthetic,simulated
ISRO-1998-0231,26.234991,94.327142,5.85,9.98,sandy loam,36.87,soilgrids_synthetic,simulated
ISRO-2008-0232,25.529822,91.26534,5.96,0.15,silty clay loam,62.62,soilgrids_synthetic,simulated
ISRO-2003-0233,26.193446,94.575217,5.88,37.78,sandy loam,63.23,soilgrids_synthetic,simulated
ISRO-2013-0234,25.579985,91.616467,5.52,39.6,clay loam,60.99,soilgrids_synthetic,simulated
ISRO-2022-0235,25.742523,92.903053,5.54,34.49,clay loam,42.0,soilgrids_synthetic,simulated
ISRO-2010-0236,26.468335,92.754162,4.75,20.75,sandy clay loam,66.6,soilgrids_synthetic,simulated
ISRO-2019-0237,25.473141,90.863934,6.45,45.24,silty clay loam,47.4,soilgrids_synthetic,simulated
ISRO-2014-0238,25.387516,92.482473,6.37,24.75,loam,61.02,soilgrids_synthetic,simulated
ISRO-2013-0239,25.472344,90.971426,6.89,24.22,loam,80.82,soilgrids_synthetic,simulated
ISRO-2020-0240,23.424747,92.52502,5.08,5.05,sandy loam,48.89,soilgrids_synthetic,simulated
ISRO-2010-0241,27.400136,88.388616,6.86,19.91,loam,47.49,soilgrids_synthetic,simulated
ISRO-1998-0242,24.769589,94.472005,6.65,15.82,loam,56.38,soilgrids_synthetic,simulated
ISRO-2009-0243,27.551703,88.272783,6.54,18.6,silty clay loam,74.51,soilgrids_synthetic,simulated
ISRO-2018-0244,27.212843,92.850674,4.53,5.55,loam,58.0,soilgrids_synthetic,simulated
ISRO-2017-0245,27.735101,88.602951,4.55,42.07,sandy loam,81.64,soilgrids_synthetic,simulated
ISRO-2013-0246,23.758627,91.335921,5.77,31.65,silty clay loam,31.47,soilgrids_synthetic,simulated
ISRO-2009-0247,25.504915,90.906107,6.2,6.52,sandy loam,80.38,soilgrids_synthetic,simulated
ISRO-2009-0248,26.421284,94.617073,5.08,25.23,loam,69.97,soilgrids_synthetic,simulated
ISRO-2013-0249,23.613335,92.578947,6.48,10.05,clay loam,78.84,soilgrids_synthetic,simulated
ISRO-2006-0250,27.285622,88.387653,5.02,2.29,silty clay loam,79.92,soilgrids_synthetic,simulated
ISRO-2019-0251,25.373195,91.626488,5.46,24.08,loam,58.01,soilgrids_synthetic,simulated
ISRO-2001-0252,26.193767,93.673686,6.91,73.1,clay,50.79,soilgrids_synthetic,simulated
ISRO-2004-0253,25.266022,92.757193,5.24,36.73,sandy clay loam,66.34,soilgrids_synthetic,simulated
ISRO-2009-0254,25.347036,91.555151,6.95,9.01,loam,33.2,soilgrids_synthetic,simulated
ISRO-2006-0255,26.46064,93.800144,5.14,13.07,silty clay loam,42.45,soilgrids_synthetic,simulated
ISRO-2005-0256,27.343778,88.366178,5.36,11.49,loam,51.29,soilgrids_synthetic,simulated
ISRO-2001-0257,25.418143,91.243824,6.82,25.07,sandy clay loam,36.92,soilgrids_synthetic,simulated
ISRO-2022-0258,26.987438,92.815461,5.28,24.15,loam,48.76,soilgrids_synthetic,simulated
ISRO-2008-0259,25.915053,90.301206,4.75,0.35,clay loam,50.65,soilgrids_synthetic,simulated
ISRO-2004-0260,27.177738,92.944945,5.36,36.14,silty clay loam,35.15,soilgrids_synthetic,simulated
ISRO-2007-0261,24.350092,93.990017,4.58,4.87,sandy loam,66.5,soilgrids_synthetic,simulated
ISRO-2015-0262,26.083255,93.830649,5.77,4.81,loam,34.04,soilgrids_synthetic,simulated
