event_id,latitude,longitude,date,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_48h,rainfall_7d,rainfall_intensity,data_source,data_quality
ISRO-2008-0063,26.563006,94.130329,2008-09-14,0.17,6.47,7.37,10.89,15.13,59.7,0.173,gpm_synthetic,simulated
ISRO-2011-0064,26.649935,93.907225,2011-08-23,5.46,49.37,38.17,190.56,215.0,472.43,5.462,gpm_synthetic,simulated
ISRO-1999-0065,27.190306,88.517065,1999-07-05,0.18,0.17,1.75,5.3,8.14,13.71,0.184,gpm_synthetic,simulated
ISRO-2019-0066,26.136131,94.326806,2019-05-17,1.49,8.71,4.73,51.43,78.46,323.62,1.49,gpm_synthetic,simulated
ISRO-2017-0067,24.905481,94.193833,2017-07-20,1.0,90.33,135.43,183.69,396.33,1271.44,1.001,gpm_synthetic,simulated
ISRO-2011-0068,26.331876,93.832953,2011-12-23,0.6,7.6,10.67,14.12,17.52,53.59,0.601,gpm_synthetic,simulated
ISRO-2001-0069,22.874123,92.746286,2001-09-03,1.52,4.58,4.97,25.22,31.65,32.23,1.524,gpm_synthetic,simulated
ISRO-2002-0070,26.303552,93.672325,2002-07-07,5.21,18.25,58.21,165.88,297.4,551.04,5.209,gpm_synthetic,simulated
ISRO-2000-0071,27.471834,91.971794,2000-08-18,2.01,9.43,47.15,35.58,37.59,107.15,2.009,gpm_synthetic,simulated
ISRO-2007-0072,26.219764,94.419228,2007-08-23,4.64,1.13,14.2,73.09,80.24,154.13,4.642,gpm_synthetic,simulated
ISRO-2020-0073,25.043562,94.275137,2020-08-10,1.96,59.26,225.14,178.83,282.24,600.64,1.964,gpm_synthetic,simulated
ISRO-2020-0074,23.565416,91.438753,2020-06-10,11.86,26.86,144.33,137.9,194.2,335.65,11.856,gpm_synthetic,simulated
ISRO-2005-0075,24.549239,93.653657,2005-09-08,5.39,9.9,45.87,66.09,99.62,190.01,5.388,gpm_synthetic,simulated
ISRO-2009-0076,27.630716,88.601664,2009-12-20,0.28,0.78,16.78,25.38,38.0,281.01,0.283,gpm_synthetic,simulated
ISRO-2016-0077,25.470044,91.026552,2016-12-18,1.4,2.32,0.31,12.66,20.76,27.09,1.399,gpm_synthetic,simulated
ISRO-2016-0078,23.423246,91.411935,2016-09-02,5.26,5.35,10.97,32.07,42.85,195.72,5.261,gpm_synthetic,simulated
ISRO-2022-0079,25.355788,91.546841,2022-08-03,0.34,0.88,2.91,12.12,20.34,34.28,0.341,gpm_synthetic,simulated
ISRO-1998-0080,25.436351,92.474349,1998-09-03,7.75,15.87,39.59,125.21,161.02,376.13,7.754,gpm_synthetic,simulated
ISRO-2016-0081,26.650436,93.774482,2016-08-07,25.93,7.43,109.83,137.96,161.46,696.77,25.928,gpm_synthetic,simulated
ISRO-2014-0082,25.264804,92.650678,2014-09-25,1.8,17.59,76.85,71.05,87.63,371.9,1.803,gpm_synthetic,simulated
ISRO-2019-0083,26.199472,94.74516,2019-06-11,6.27,22.36,25.89,48.37,66.54,231.43,6.268,gpm_synthetic,simulated
ISRO-2006-0084,23.80882,92.653716,2006-07-27,1.2,73.15,40.02,159.2,237.97,250.51,1.204,gpm_synthetic,simulated
ISRO-2022-0085,26.500441,92.847606,2022-11-11,1.77,16.87,69.86,57.34,86.71,129.75,1.768,gpm_synthetic,simulated
ISRO-1999-0086,27.15099,94.958834,1999-08-13,2.85,3.36,4.07,30.14,66.08,76.46,2.853,gpm_synthetic,simulated
ISRO-2016-0087,23.520428,91.49227,2016-06-25,1.4,1.0,90.29,76.8,205.14,464.14,1.397,gpm_synthetic,simulated
ISRO-2016-0088,23.545372,91.67672,2016-06-09,0.14,2.52,8.86,29.51,61.79,396.61,0.137,gpm_synthetic,simulated
ISRO-2005-0089,27.630745,91.945987,2005-07-22,0.69,3.26,23.85,36.48,47.95,67.56,0.688,gpm_synthetic,simulated
ISRO-2018-0090,25.701277,92.843795,2018-08-05,3.08,3.47,17.5,34.14,35.94,46.73,3.083,gpm_synthetic,simulated
ISRO-2010-0091,26.266486,94.467921,2010-04-26,0.05,0.25,3.24,4.25,4.4,5.49,0.051,gpm_synthetic,simulated
ISRO-2009-0092,23.508044,91.506285,2009-05-02,0.72,0.03,5.42,12.87,16.64,26.02,0.72,gpm_synthetic,simulated
ISRO-2003-0093,24.901036,94.047063,2003-01-12,0.23,3.35,6.19,23.59,39.73,104.58,0.227,gpm_synthetic,simulated
ISRO-2010-0094,27.294751,95.116547,2010-09-12,3.25,11.04,4.9,29.17,29.37,135.1,3.25,gpm_synthetic,simulated
ISRO-2004-0095,23.389932,92.791629,2004-07-07,6.29,3.16,75.32,126.9,164.63,208.53,6.294,gpm_synthetic,simulated
ISRO-2015-0096,27.325227,88.173687,2015-11-04,0.02,14.37,9.01,17.11,22.87,36.42,0.017,gpm_synthetic,simulated
ISRO-2000-0097,27.060075,92.870819,2000-08-16,2.39,10.17,6.87,30.0,50.36,53.04,2.386,gpm_synthetic,simulated
ISRO-2013-0098,25.331372,91.136469,2013-06-24,0.75,6.37,6.16,30.25,31.25,42.15,0.746,gpm_synthetic,simulated
ISRO-2022-0099,27.130768,88.45658,2022-10-09,0.27,0.34,0.58,5.99,9.82,30.73,0.271,gpm_synthetic,simulated
ISRO-2005-0100,22.689054,92.564917,2005-01-10,0.2,0.01,7.68,17.31,29.63,37.69,0.195,gpm_synthetic,simulated
ISRO-2016-0101,26.008577,94.09501,2016-05-17,5.64,5.39,12.93,33.98,56.07,119.81,5.636,gpm_synthetic,simulated
ISRO-2010-0102,26.545887,94.452004,2010-12-01,0.17,1.01,1.32,12.44,15.01,15.42,0.17,gpm_synthetic,simulated
ISRO-2020-0103,27.3181,95.260896,2020-03-08,0.4,1.33,8.42,17.97,22.57,26.73,0.397,gpm_synthetic,simulated
ISRO-2018-0104,23.25908,91.647857,2018-10-07,2.63,0.87,19.19,20.16,27.65,46.92,2.626,gpm_synthetic,simulated
ISRO-2007-0105,25.58881,91.112885,2007-09-16,5.38,20.52,8.76,48.1,141.72,325.81,5.385,gpm_synthetic,simulated
ISRO-1998-0106,23.948014,91.310115,1998-04-12,0.17,0.27,0.22,1.22,3.31,5.36,0.168,gpm_synthetic,simulated
ISRO-2001-0107,25.530775,91.939221,2001-10-06,1.79,20.61,25.31,51.43,53.82,83.41,1.791,gpm_synthetic,simulated
ISRO-2016-0108,27.689183,88.339526,2016-09-14,0.45,1.46,2.42,14.44,30.69,41.03,0.455,gpm_synthetic,simulated
ISRO-2000-0109,25.201987,94.282786,2000-04-22,8.54,13.27,14.37,57.94,76.93,108.69,8.535,gpm_synthetic,simulated
ISRO-2022-0110,26.438572,94.309656,2022-07-24,5.15,4.58,21.22,32.97,37.95,82.35,5.15,gpm_synthetic,simulated
ISRO-2008-0111,24.550887,94.117691,2008-06-13,4.97,0.05,28.53,94.07,117.65,328.89,4.97,gpm_synthetic,simulated
ISRO-2002-0112,25.492281,91.319739,2002-06-26,0.67,11.48,6.45,18.02,22.52,109.34,0.674,gpm_synthetic,simulated
ISRO-2004-0113,25.251044,91.242883,2004-07-15,0.57,20.65,7.1,48.56,52.69,124.75,0.574,gpm_synthetic,simulated
ISRO-2021-0114,27.37626,95.197753,2021-06-03,2.07,14.14,21.47,49.63,83.27,412.19,2.074,gpm_synthetic,simulated
ISRO-2020-0115,26.542284,94.941183,2020-04-26,0.44,3.42,0.5,17.0,22.39,59.78,0.438,gpm_synthetic,simulated
ISRO-2000-0116,25.172898,94.158378,2000-05-15,1.24,5.16,6.15,19.38,26.97,42.17,1.24,gpm_synthetic,simulated
ISRO-2012-0117,24.917565,94.298016,2012-07-11,1.65,2.31,69.21,76.15,169.36,503.45,1.654,gpm_synthetic,simulated
ISRO-2021-0118,23.210328,92.898061,2021-06-03,0.25,0.84,0.28,2.96,3.66,6.19,0.254,gpm_synthetic,simulated
ISRO-2009-0119,27.972629,94.805123,2009-10-23,0.07,0.27,0.53,2.31,3.6,4.35,0.068,gpm_synthetic,simulated
ISRO-2004-0120,25.230627,91.62001,2004-09-24,0.21,1.69,14.96,14.0,21.54,26.27,0.211,gpm_synthetic,simulated
ISRO-2011-0121,24.467282,93.715877,2011-12-04,0.83,24.97,0.74,13.66,23.91,46.04,0.832,gpm_synthetic,simulated
ISRO-2011-0122,24.653859,94.276592,2011-05-01,0.01,72.34,18.58,117.42,200.4,357.98,0.01,gpm_synthetic,simulated
ISRO-2009-0123,28.050226,94.715943,2009-12-06,0.11,0.24,1.33,9.99,10.22,35.66,0.113,gpm_synthetic,simulated
ISRO-2001-0124,27.510333,88.520694,2001-07-02,1.14,4.82,3.6,23.7,28.78,32.97,1.138,gpm_synthetic,simulated
ISRO-2017-0125,22.755977,93.011892,2017-08-12,2.64,5.16,15.07,95.3,118.37,235.6,2.637,gpm_synthetic,simulated
ISRO-1999-0126,27.479131,88.214515,1999-08-05,5.93,2.66,24.75,48.43,67.89,102.02,5.93,gpm_synthetic,simulated
ISRO-2016-0127,24.48055,93.979976,2016-08-17,8.87,71.76,19.33,105.98,239.41,335.14,8.867,gpm_synthetic,simulated
ISRO-2014-0128,27.473004,94.970127,2014-11-13,0.11,0.51,0.17,1.17,1.72,1.83,0.112,gpm_synthetic,simulated
ISRO-2014-0129,26.40124,94.223768,2014-09-10,2.35,37.73,0.83,36.62,75.38,159.57,2.351,gpm_synthetic,simulated
ISRO-2010-0130,23.603543,92.65965,2010-07-18,0.27,0.88,1.18,5.29,11.64,23.02,0.275,gpm_synthetic,simulated
ISRO-2000-0131,27.383745,88.677759,2000-01-18,6.42,13.4,26.52,20.54,58.13,135.84,6.425,gpm_synthetic,simulated
ISRO-2019-0132,23.67334,91.383925,2019-06-04,0.4,2.15,4.49,10.96,20.97,41.43,0.402,gpm_synthetic,simulated
ISRO-2020-0133,27.051261,88.32104,2020-12-19,0.75,1.21,3.65,8.62,12.76,27.88,0.75,gpm_synthetic,simulated
ISRO-2006-0134,28.338064,94.649838,2006-02-19,0.01,0.01,0.93,0.77,1.1,2.94,0.009,gpm_synthetic,simulated
ISRO-2009-0135,25.017969,94.576992,2009-08-09,2.13,10.8,22.58,68.43,113.96,327.49,2.134,gpm_synthetic,simulated
ISRO-2004-0136,27.506336,88.811937,2004-12-23,0.07,0.17,0.59,3.57,3.76,21.9,0.073,gpm_synthetic,simulated
ISRO-2010-0137,27.278226,95.070113,2010-06-18,4.36,59.49,5.72,189.84,283.63,1167.59,4.355,gpm_synthetic,simulated
ISRO-2003-0138,26.258028,94.080285,2003-01-05,0.01,0.53,1.85,2.45,2.64,5.15,0.012,gpm_synthetic,simulated
ISRO-2001-0139,25.637168,92.507852,2001-12-11,0.23,0.04,0.21,1.1,1.2,6.01,0.235,gpm_synthetic,simulated
ISRO-2013-0140,24.71645,94.140411,2013-05-02,0.55,8.15,13.7,19.9,21.26,49.99,0.546,gpm_synthetic,simulated
ISRO-2014-0141,26.305922,94.366265,2014-07-05,2.9,22.02,3.9,131.08,131.39,146.7,2.903,gpm_synthetic,simulated
ISRO-2014-0142,26.546021,94.949711,2014-04-14,0.01,1.28,3.3,4.47,4.86,5.13,0.011,gpm_synthetic,simulated
ISRO-2009-0143,26.062388,93.67571,2009-07-19,23.44,5.69,146.46,278.15,286.54,568.16,23.444,gpm_synthetic,simulated
ISRO-2008-0144,23.710773,91.42441,2008-08-22,8.49,22.92,2.85,209.37,234.05,241.98,8.486,gpm_synthetic,simulated
ISRO-2000-0145,27.026763,88.31692,2000-03-02,0.01,0.01,0.08,0.89,1.9,3.33,0.012,gpm_synthetic,simulated
ISRO-1998-0146,27.376129,95.361564,1998-05-05,0.26,3.23,17.81,28.45,37.32,151.75,0.258,gpm_synthetic,simulated
ISRO-2018-0147,24.796378,94.047241,2018-06-20,0.07,1.18,9.05,7.43,10.98,11.03,0.071,gpm_synthetic,simulated
ISRO-2009-0148,26.133952,94.359595,2009-09-06,0.4,3.56,88.4,74.65,105.3,360.65,0.395,gpm_synthetic,simulated
ISRO-2002-0149,26.561554,92.749253,2002-05-27,0.07,0.03,1.04,3.07,5.03,6.9,0.071,gpm_synthetic,simulated
ISRO-2019-0150,26.637798,92.986429,2019-06-06,2.06,25.03,88.98,153.87,156.19,234.02,2.06,gpm_synthetic,simulated
ISRO-2012-0151,27.625454,91.964273,2012-02-20,0.26,5.51,9.7,6.65,10.32,13.32,0.263,gpm_synthetic,simulated
ISRO-2004-0152,22.859328,92.928955,2004-08-23,0.71,6.17,0.24,42.25,47.21,181.82,0.707,gpm_synthetic,simulated
ISRO-2005-0153,26.432048,92.888326,2005-01-02,0.07,6.16,3.11,22.57,42.33,135.01,0.07,gpm_synthetic,simulated
ISRO-2002-0154,26.495132,94.684978,2002-12-13,0.3,0.26,8.27,17.23,33.91,49.9,0.299,gpm_synthetic,simulated
ISRO-2002-0155,25.389764,91.957046,2002-06-03,13.1,10.15,178.38,115.94,116.57,375.12,13.101,gpm_synthetic,simulated
ISRO-2019-0156,22.810199,92.730379,2019-07-02,0.24,10.73,44.11,35.4,38.76,96.66,0.242,gpm_synthetic,simulated
ISRO-2020-0157,26.514833,94.499916,2020-05-03,0.01,3.19,2.39,30.8,75.51,118.1,0.012,gpm_synthetic,simulated
ISRO-2016-0158,23.659904,91.61303,2016-03-27,0.04,1.56,0.61,1.82,2.8,13.1,0.04,gpm_synthetic,simulated
ISRO-2012-0159,27.453095,95.035171,2012-08-27,3.02,23.07,31.78,75.94,195.05,292.04,3.018,gpm_synthetic,simulated
ISRO-2007-0160,26.342376,94.514026,2007-06-09,7.69,19.95,173.59,131.89,136.66,545.76,7.693,gpm_synthetic,simulated
ISRO-2006-0161,23.354335,92.66576,2006-11-18,0.56,0.12,10.66,18.62,30.87,56.1,0.559,gpm_synthetic,simulated
ISRO-2009-0162,26.133967,93.880909,2009-08-18,0.93,7.17,19.25,25.23,55.82,80.75,0.93,gpm_synthetic,simulated
ISRO-2000-0163,25.333031,91.111557,2000-06-11,1.71,68.09,39.17,115.99,157.57,422.47,1.709,gpm_synthetic,simulated
ISRO-2018-0164,25.713752,91.048697,2018-03-19,0.14,0.24,0.2,1.42,2.25,9.05,0.141,gpm_synthetic,simulated
ISRO-2012-0165,26.952309,88.069271,2012-08-19,1.06,3.56,102.56,163.18,200.98,498.49,1.062,gpm_synthetic,simulated
ISRO-2010-0166,25.482879,92.452737,2010-07-22,2.18,52.23,24.5,152.63,168.07,426.19,2.181,gpm_synthetic,simulated
ISRO-2004-0167,27.930294,94.837454,2004-08-14,8.97,88.55,81.26,186.02,210.71,376.74,8.971,gpm_synthetic,simulated
ISRO-2002-0168,27.547136,88.589074,2002-04-11,1.3,30.46,31.81,115.41,215.96,349.78,1.299,gpm_synthetic,simulated
ISRO-2022-0169,22.953606,92.76249,2022-07-10,1.5,0.47,14.96,18.71,60.94,61.4,1.502,gpm_synthetic,simulated
ISRO-2005-0170,28.001898,94.887167,2005-08-01,0.35,1.52,42.56,38.42,60.89,98.17,0.354,gpm_synthetic,simulated
ISRO-2014-0171,22.838367,92.859357,2014-07-02,0.27,2.9,1.21,4.22,5.45,11.63,0.271,gpm_synthetic,simulated
ISRO-2002-0172,25.622071,90.098405,2002-07-26,1.67,20.31,17.37,42.76,57.17,95.46,1.671,gpm_synthetic,simulated
ISRO-2014-0173,23.585705,92.767117,2014-07-12,0.72,4.35,1.08,12.15,16.26,51.85,0.715,gpm_synthetic,simulated
ISRO-2021-0174,25.0702,92.202899,2021-11-09,0.22,2.9,9.9,10.15,15.6,51.96,0.223,gpm_synthetic,simulated
ISRO-2000-0175,26.979912,88.467354,2000-08-05,7.74,15.81,52.07,74.33,102.03,180.08,7.741,gpm_synthetic,simulated
ISRO-2009-0176,26.081559,94.934376,2009-06-09,1.08,1.94,0.77,19.68,46.17,50.23,1.082,gpm_synthetic,simulated
ISRO-2019-0177,23.803922,92.66501,2019-10-27,0.3,4.51,0.81,37.26,53.53,132.83,0.3,gpm_synthetic,simulated
ISRO-2011-0178,26.121748,94.099461,2011-09-27,3.43,8.89,6.9,27.33,50.04,50.56,3.429,gpm_synthetic,simulated
ISRO-2007-0179,26.045753,93.694877,2007-09-03,1.33,1.66,18.19,54.36,69.48,137.94,1.33,gpm_synthetic,simulated
ISRO-1998-0180,27.128762,95.05291,1998-06-27,1.06,0.06,0.95,5.66,17.5,21.06,1.065,gpm_synthetic,simulated
ISRO-2003-0181,27.874559,94.526801,2003-06-02,0.65,1.66,10.57,7.67,13.57,35.54,0.654,gpm_synthetic,simulated
ISRO-2013-0182,23.550934,92.650292,2013-10-17,0.42,2.28,5.55,4.01,6.2,7.83,0.419,gpm_synthetic,simulated
ISRO-2003-0183,25.268921,92.322847,2003-09-11,9.33,159.73,3.37,179.84,468.17,596.57,9.327,gpm_synthetic,simulated
ISRO-2014-0184,26.486427,92.76738,2014-09-07,0.53,2.01,8.33,15.23,59.33,60.28,0.534,gpm_synthetic,simulated
ISRO-2000-0185,27.298824,88.609775,2000-07-14,5.08,7.42,27.12,32.29,41.45,105.47,5.083,gpm_synthetic,simulated
ISRO-2008-0186,26.983413,88.346478,2008-08-07,1.32,12.05,22.15,17.6,17.98,82.14,1.324,gpm_synthetic,simulated
ISRO-2020-0187,25.287781,91.880165,2020-08-23,7.02,20.19,235.18,108.51,167.22,781.93,7.024,gpm_synthetic,simulated
ISRO-2019-0188,26.565533,94.123837,2019-09-18,1.9,12.41,14.77,33.14,138.09,259.67,1.903,gpm_synthetic,simulated
ISRO-2018-0189,22.902881,92.918287,2018-06-13,0.95,19.83,109.0,63.91,78.42,217.54,0.954,gpm_synthetic,simulated
ISRO-2013-0190,24.923635,94.597344,2013-05-08,0.54,0.01,0.33,6.57,12.1,18.82,0.544,gpm_synthetic,simulated
ISRO-2005-0191,24.514696,94.091413,2005-09-21,1.76,26.89,57.52,104.72,124.84,204.84,1.758,gpm_synthetic,simulated
ISRO-2001-0192,26.186715,94.604167,2001-08-04,3.41,20.34,12.95,79.29,158.01,178.69,3.414,gpm_synthetic,simulated
ISRO-2017-0193,25.623995,92.857537,2017-10-13,1.13,11.53,2.48,18.86,30.17,116.04,1.128,gpm_synthetic,simulated
ISRO-2009-0194,25.44603,92.570464,2009-07-21,1.47,21.38,10.33,135.68,217.01,245.5,1.469,gpm_synthetic,simulated
ISRO-2005-0195,26.134636,94.367999,2005-12-21,0.24,1.45,31.61,24.69,58.15,75.95,0.241,gpm_synthetic,simulated
ISRO-2022-0196,22.956758,92.99489,2022-10-25,0.0,0.0,0.02,0.04,0.05,0.31,0.001,gpm_synthetic,simulated
ISRO-2009-0197,23.397157,92.653681,2009-08-16,1.46,6.34,94.83,75.61,84.71,136.78,1.461,gpm_synthetic,simulated
ISRO-2017-0198,26.673918,94.447412,2017-11-24,0.44,0.28,0.41,2.42,4.47,5.39,0.438,gpm_synthetic,simulated
ISRO-2013-0199,27.519403,88.52232,2013-07-16,1.11,0.56,217.37,99.11,178.17,412.51,1.112,gpm_synthetic,simulated
ISRO-2021-0200,22.85144,92.96706,2021-06-19,0.07,0.59,7.33,23.13,23.55,112.81,0.067,gpm_synthetic,simulated
