event_id,latitude,longitude,elevation,slope,aspect,curvature,terrain_ruggedness,data_source,data_quality
ISRO-2018-0090,25.701277,92.843795,2140.5,21.93,18.91,-0.0427,258.3,dem_synthetic,simulated
ISRO-2010-0091,26.266486,94.467921,2336.6,30.7,309.03,0.0537,0.72,dem_synthetic,simulated
ISRO-2009-0092,23.508044,91.506285,1055.6,18.9,141.55,-0.0157,182.74,dem_synthetic,simulated
ISRO-2003-0093,24.901036,94.047063,784.7,35.92,152.59,0.0336,72.79,dem_synthetic,simulated
ISRO-2010-0094,27.294751,95.116547,1390.6,43.59,355.14,0.0219,127.45,dem_synthetic,simulated
ISRO-2004-0095,23.389932,92.791629,50.0,20.01,337.25,0.0267,19.31,dem_synthetic,simulated
ISRO-2015-0096,27.325227,88.173687,3027.7,34.64,347.17,0.0007,7.81,dem_synthetic,simulated
ISRO-2000-0097,27.060075,92.870819,2082.8,26.64,184.15,0.0124,64.73,dem_synthetic,simulated
ISRO-2013-0098,25.331372,91.136469,2883.2,32.75,19.27,-0.0656,15.66,dem_synthetic,simulated
ISRO-2022-0099,27.130768,88.45658,2456.2,39.73,283.08,0.0165,20.33,dem_synthetic,simulated
ISRO-2005-0100,22.689054,92.564917,985.7,30.25,292.48,-0.0763,52.62,dem_synthetic,simulated
ISRO-2016-0101,26.008577,94.09501,2034.7,25.26,273.94,0.0361,11.87,dem_synthetic,simulated
ISRO-2010-0102,26.545887,94.452004,2866.2,22.25,220.68,0.0231,43.53,dem_synthetic,simulated
ISRO-2020-0103,27.3181,95.260896,1993.9,27.65,104.86,0.0245,72.17,dem_synthetic,simulated
ISRO-2018-0104,23.25908,91.647857,93.3,31.48,37.67,0.0499,153.98,dem_synthetic,simulated
ISRO-2007-0105,25.58881,91.112885,746.1,15.81,24.68,0.037,144.61,dem_synthetic,simulated
ISRO-1998-0106,23.948014,91.310115,1323.5,30.29,284.57,-0.0034,47.18,dem_synthetic,simulated
ISRO-2001-0107,25.530775,91.939221,2342.7,32.99,338.89,0.0088,18.37,dem_synthetic,simulated
ISRO-2016-0108,27.689183,88.339526,2581.2,45.25,191.6,-0.0932,85.54,dem_synthetic,simulated
ISRO-2000-0109,25.201987,94.282786,2290.5,26.33,16.11,0.0346,58.7,dem_synthetic,simulated
ISRO-2022-0110,26.438572,94.309656,2794.4,28.93,58.25,-0.0771,137.73,dem_synthetic,simulated
ISRO-2008-0111,24.550887,94.117691,977.2,39.84,20.13,-0.014,16.08,dem_synthetic,simulated
ISRO-2002-0112,25.492281,91.319739,1672.2,31.32,289.68,0.0306,6.8,dem_synthetic,simulated
ISRO-2004-0113,25.251044,91.242883,2220.5,26.99,20.23,-0.008,35.45,dem_synthetic,simulated
ISRO-2021-0114,27.37626,95.197753,2438.4,29.57,248.35,0.0165,1.63,dem_synthetic,simulated
ISRO-2020-0115,26.542284,94.941183,2941.5,42.03,61.37,0.0504,25.94,dem_synthetic,simulated
ISRO-2000-0116,25.172898,94.158378,2108.7,29.13,211.58,-0.0358,168.33,dem_synthetic,simulated
ISRO-2012-0117,24.917565,94.298016,1220.4,27.93,317.18,0.0265,32.19,dem_synthetic,simulated
ISRO-2021-0118,23.210328,92.898061,525.7,29.23,102.33,0.0623,113.29,dem_synthetic,simulated
ISRO-2009-0119,27.972629,94.805123,4371.7,33.49,89.61,-0.0171,355.81,dem_synthetic,simulated
ISRO-2004-0120,25.230627,91.62001,1965.8,29.14,132.9,0.0075,43.11,dem_synthetic,simulated
ISRO-2011-0121,24.467282,93.715877,957.0,24.31,354.77,-0.0311,83.74,dem_synthetic,simulated
ISRO-2011-0122,24.653859,94.276592,1207.5,19.52,317.33,0.0528,86.28,dem_synthetic,simulated
ISRO-2009-0123,28.050226,94.715943,2995.3,47.2,248.12,-0.0324,86.58,dem_synthetic,simulated
ISRO-2001-0124,27.510333,88.520694,2993.6,34.81,127.48,-0.0447,247.96,dem_synthetic,simulated
ISRO-2017-0125,22.755977,93.011892,762.0,23.28,291.33,0.011,76.61,dem_synthetic,simulated
ISRO-1999-0126,27.479131,88.214515,2188.9,41.11,210.91,0.0395,332.66,dem_synthetic,simulated
ISRO-2016-0127,24.48055,93.979976,1505.3,22.68,319.41,-0.0319,256.96,dem_synthetic,simulated
ISRO-2014-0128,27.473004,94.970127,2792.7,34.34,54.09,-0.0418,259.5,dem_synthetic,simulated
ISRO-2014-0129,26.40124,94.223768,1621.9,38.7,92.83,-0.0374,48.95,dem_synthetic,simulated
ISRO-2010-0130,23.603543,92.65965,1346.2,22.43,280.11,-0.0312,72.19,dem_synthetic,simulated
ISRO-2000-0131,27.383745,88.677759,2849.8,40.57,59.22,0.0497,86.47,dem_synthetic,simulated
ISRO-2019-0132,23.67334,91.383925,660.2,38.43,121.34,-0.0292,0.5,dem_synthetic,simulated
ISRO-2020-0133,27.051261,88.32104,2721.6,27.3,255.15,0.0475,54.16,dem_synthetic,simulated
ISRO-2006-0134,28.338064,94.649838,3146.4,27.56,316.04,0.0136,111.9,dem_synthetic,simulated
ISRO-2009-0135,25.017969,94.576992,515.4,31.18,291.56,-0.065,54.15,dem_synthetic,simulated
ISRO-2004-0136,27.506336,88.811937,3508.8,49.82,275.05,-0.1112,183.08,dem_synthetic,simulated
ISRO-2010-0137,27.278226,95.070113,3117.6,56.64,331.69,0.0386,68.0,dem_synthetic,simulated
ISRO-2003-0138,26.258028,94.080285,1199.3,27.23,21.23,-0.0279,17.64,dem_synthetic,simulated
ISRO-2001-0139,25.637168,92.507852,1863.4,15.59,50.44,0.0598,43.86,dem_synthetic,simulated
ISRO-2013-0140,24.71645,94.140411,2199.2,20.08,205.98,-0.0161,10.96,dem_synthetic,simulated
ISRO-2014-0141,26.305922,94.366265,1665.3,19.45,221.5,0.0083,128.44,dem_synthetic,simulated
ISRO-2014-0142,26.546021,94.949711,1912.4,44.21,285.75,0.0285,54.09,dem_synthetic,simulated
ISRO-2009-0143,26.062388,93.67571,1267.9,29.11,283.84,-0.0154,119.89,dem_synthetic,simulated
ISRO-2008-0144,23.710773,91.42441,1756.8,18.09,206.25,0.0247,65.48,dem_synthetic,simulated
ISRO-2000-0145,27.026763,88.31692,3531.2,27.23,112.88,-0.0892,27.01,dem_synthetic,simulated
ISRO-1998-0146,27.376129,95.361564,1837.2,32.44,38.33,0.0623,110.91,dem_synthetic,simulated
ISRO-2018-0147,24.796378,94.047241,1676.8,21.25,357.65,0.0529,42.95,dem_synthetic,simulated
ISRO-2009-0148,26.133952,94.359595,2671.1,36.97,235.92,0.0403,462.1,dem_synthetic,simulated
ISRO-2002-0149,26.561554,92.749253,2314.5,40.5,225.88,-0.0642,8.4,dem_synthetic,simulated
ISRO-2019-0150,26.637798,92.986429,2516.0,31.23,53.81,-0.091,112.81,dem_synthetic,simulated
ISRO-2012-0151,27.625454,91.964273,2390.8,49.75,276.42,-0.0303,16.11,dem_synthetic,simulated
ISRO-2004-0152,22.859328,92.928955,1107.3,43.08,269.14,0.0875,11.25,dem_synthetic,simulated
ISRO-2005-0153,26.432048,92.888326,2984.7,45.52,220.14,-0.1115,37.6,dem_synthetic,simulated
ISRO-2002-0154,26.495132,94.684978,3288.5,37.79,261.67,0.0034,0.74,dem_synthetic,simulated
ISRO-2002-0155,25.389764,91.957046,1883.9,25.76,314.61,0.1162,78.36,dem_synthetic,simulated
ISRO-2019-0156,22.810199,92.730379,134.1,14.93,298.21,0.0081,24.69,dem_synthetic,simulated
ISRO-2020-0157,26.514833,94.499916,2520.7,36.14,114.6,-0.0075,123.25,dem_synthetic,simulated
ISRO-2016-0158,23.659904,91.61303,866.3,29.19,47.6,0.0656,90.59,dem_synthetic,simulated
ISRO-2012-0159,27.453095,95.035171,3300.5,60.14,178.15,-0.0766,82.76,dem_synthetic,simulated
ISRO-2007-0160,26.342376,94.514026,2017.5,39.88,326.3,0.0312,158.64,dem_synthetic,simulated
ISRO-2006-0161,23.354335,92.66576,675.0,22.26,359.49,0.0477,16.66,dem_synthetic,simulated
ISRO-2009-0162,26.133967,93.880909,1944.1,46.19,229.13,0.1161,46.32,dem_synthetic,simulated
ISRO-2000-0163,25.333031,91.111557,1808.2,28.27,228.42,-0.0072,59.4,dem_synthetic,simulated
ISRO-2018-0164,25.713752,91.048697,2537.2,29.27,33.79,-0.0623,2.19,dem_synthetic,simulated
ISRO-2012-0165,26.952309,88.069271,2772.4,35.08,254.76,0.0324,35.23,dem_synthetic,simulated
ISRO-2010-0166,25.482879,92.452737,2441.5,35.67,208.33,-0.012,54.95,dem_synthetic,simulated
ISRO-2004-0167,27.930294,94.837454,1730.0,38.71,2.81,0.1083,118.98,dem_synthetic,simulated
ISRO-2002-0168,27.547136,88.589074,3471.8,29.9,95.51,0.0094,106.41,dem_synthetic,simulated
ISRO-2022-0169,22.953606,92.76249,444.4,29.12,316.42,-0.0435,68.77,dem_synthetic,simulated
ISRO-2005-0170,28.001898,94.887167,3168.0,38.85,22.42,0.0458,103.72,dem_synthetic,simulated
ISRO-2014-0171,22.838367,92.859357,374.7,17.53,171.55,-0.0923,27.04,dem_synthetic,simulated
ISRO-2002-0172,25.622071,90.098405,2253.4,34.18,336.1,-0.015,22.39,dem_synthetic,simulated
ISRO-2014-0173,23.585705,92.767117,556.4,19.84,286.07,-0.0253,157.44,dem_synthetic,simulated
ISRO-2021-0174,25.0702,92.202899,1554.4,24.24,122.75,0.0884,38.77,dem_synthetic,simulated
ISRO-2000-0175,26.979912,88.467354,2843.4,27.67,50.05,-0.0709,344.88,dem_synthetic,simulated
ISRO-2009-0176,26.081559,94.934376,2142.1,45.95,78.75,-0.0221,147.92,dem_synthetic,simulated
ISRO-2019-0177,23.803922,92.66501,1367.6,36.52,252.17,-0.0345,53.16,dem_synthetic,simulated
ISRO-2011-0178,26.121748,94.099461,1504.8,39.68,108.16,0.0218,37.65,dem_synthetic,simulated
ISRO-2007-0179,26.045753,93.694877,2264.9,24.37,119.22,-0.0256,19.14,dem_synthetic,simulated
ISRO-1998-0180,27.128762,95.05291,2671.0,36.51,238.79,-0.0302,31.95,dem_synthetic,simulated
ISRO-2003-0181,27.874559,94.526801,1864.0,54.72,292.16,0.0112,139.66,dem_synthetic,simulated
ISRO-2013-0182,23.550934,92.650292,901.7,24.82,236.49,-0.0542,2.89,dem_synthetic,simulated
ISRO-2003-0183,25.268921,92.322847,1545.8,33.11,351.58,0.1261,61.03,dem_synthetic,simulated
ISRO-2014-0184,26.486427,92.76738,2264.1,42.23,169.46,0.0048,32.52,dem_synthetic,simulated
ISRO-2000-0185,27.298824,88.609775,2370.1,37.76,262.71,0.0064,49.8,dem_synthetic,simulated
ISRO-2008-0186,26.983413,88.346478,2466.8,37.53,290.7,0.0506,3.31,dem_synthetic,simulated
ISRO-2020-0187,25.287781,91.880165,345.2,35.72,105.37,0.0814,5.1,dem_synthetic,simulated
ISRO-2019-0188,26.565533,94.123837,3283.6,44.14,288.71,-0.0224,176.02,dem_synthetic,simulated
ISRO-2018-0189,22.902881,92.918287,888.4,20.34,26.08,0.0278,66.72,dem_synthetic,simulated
ISRO-2013-0190,24.923635,94.597344,1553.0,25.12,199.7,-0.0067,7.28,dem_synthetic,simulated
ISRO-2005-0191,24.514696,94.091413,1450.6,34.23,189.05,-0.0943,41.42,dem_synthetic,simulated
ISRO-2001-0192,26.186715,94.604167,3963.1,26.98,359.85,0.0317,52.81,dem_synthetic,simulated
ISRO-2017-0193,25.623995,92.857537,2836.8,34.09,172.68,0.096,114.15,dem_synthetic,simulated
ISRO-2009-0194,25.44603,92.570464,3197.9,16.5,215.43,-0.0551,10.72,dem_synthetic,simulated
ISRO-2005-0195,26.134636,94.367999,1888.0,30.25,181.1,0.1161,43.96,dem_synthetic,simulated
ISRO-2022-0196,22.956758,92.99489,433.0,18.8,102.5,-0.0844,26.89,dem_synthetic,simulated
ISRO-2009-0197,23.397157,92.653681,466.4,39.75,86.0,-0.0422,26.09,dem_synthetic,simulated
ISRO-2017-0198,26.673918,94.447412,2559.2,41.1,36.2,-0.0762,44.15,dem_synthetic,simulated
ISRO-2013-0199,27.519403,88.52232,2809.9,41.11,40.03,0.0744,189.07,dem_synthetic,simulated
ISRO-2021-0200,22.85144,92.96706,755.7,27.0,348.34,0.0505,24.59,dem_synthetic,simulated
ISRO-2020-0201,27.020028,88.388854,2699.6,29.65,221.92,0.0115,183.04,dem_synthetic,simulated
ISRO-2008-0202,27.566258,91.676517,3385.8,30.98,303.9,-0.0022,5.28,dem_synthetic,simulated
ISRO-1998-0203,23.735584,92.747039,1014.3,24.13,330.81,-0.0223,52.39,dem_synthetic,simulated
ISRO-2007-0204,27.123538,92.935772,3214.0,35.28,357.06,0.0392,74.99,dem_synthetic,simulated
ISRO-2014-0205,25.595201,91.241494,2028.3,32.84,284.35,-0.0311,49.76,dem_synthetic,simulated
ISRO-2016-0206,27.098894,95.184116,1988.3,44.68,262.6,0.0112,17.94,dem_synthetic,simulated
ISRO-2020-0207,26.65136,94.083015,3088.6,37.78,304.2,-0.0577,70.77,dem_synthetic,simulated
ISRO-2003-0208,23.973336,91.249598,1474.3,17.91,37.81,-0.0008,19.02,dem_synthetic,simulated
ISRO-2020-0209,24.675499,94.07419,1014.3,31.98,64.43,0.0122,65.15,dem_synthetic,simulated
ISRO-2016-0210,25.314147,91.140419,372.4,12.87,133.29,-0.0813,100.17,dem_synthetic,simulated
ISRO-2016-0211,23.660253,91.724676,862.7,18.92,275.56,0.0208,19.49,dem_synthetic,simulated
ISRO-2012-0212,25.447551,91.143446,1134.6,27.53,344.32,-0.0125,81.54,dem_synthetic,simulated
ISRO-2002-0213,26.447616,94.930313,1298.8,24.11,106.89,-0.0266,8.28,dem_synthetic,simulated
ISRO-2009-0214,23.943314,92.296904,1462.3,17.66,76.62,0.0465,138.42,dem_synthetic,simulated
ISRO-2022-0215,23.591765,92.60066,1087.9,15.7,8.67,-0.0729,17.02,dem_synthetic,simulated
ISRO-1998-0216,23.660079,91.405959,1183.2,19.08,20.25,0.1659,26.55,dem_synthetic,simulated
ISRO-1998-0217,26.448218,94.222574,2200.5,25.16,241.84,0.0096,63.25,dem_synthetic,simulated
ISRO-2020-0218,26.357962,94.015646,2874.2,38.41,214.36,-0.0253,107.12,dem_synthetic,simulated
ISRO-2015-0219,25.06778,94.221997,2064.9,22.89,154.13,-0.0594,56.19,dem_synthetic,simulated
ISRO-2020-0220,27.755876,91.724782,4202.6,38.96,199.58,0.1003,28.67,dem_synthetic,simulated
ISRO-2006-0221,27.134567,88.455886,2170.6,35.11,353.71,0.0828,3.89,dem_synthetic,simulated
ISRO-2001-0222,27.763627,91.84012,2822.2,33.03,55.51,-0.0778,51.96,dem_synthetic,simulated
ISRO-2015-0223,23.773696,91.223032,627.7,25.16,326.43,-0.1151,121.36,dem_synthetic,simulated
ISRO-2004-0224,26.671035,93.915101,2183.5,41.31,356.91,0.0287,11.06,dem_synthetic,simulated
ISRO-2003-0225,26.594451,94.204898,2003.4,25.85,229.85,-0.0419,91.18,dem_synthetic,simulated
ISRO-2013-0226,25.061773,93.91754,450.3,33.96,197.77,0.0229,16.07,dem_synthetic,simulated
ISRO-2008-0227,27.893356,94.561184,2211.4,37.25,160.38,-0.0591,19.53,dem_synthetic,simulated
ISRO-2017-0228,27.586278,91.799597,1924.2,31.99,14.87,-0.1249,89.49,dem_synthetic,simulated
ISRO-2016-0229,23.285925,91.607844,50.0,26.41,264.72,0.0049,23.73,dem_synthetic,simulated
ISRO-2009-0230,25.340442,90.858458,1281.4,24.25,95.9,0.0564,29.19,dem_synthetic,simulated
ISRO-1998-0231,26.234991,94.327142,3129.5,37.21,178.6,-0.0167,48.23,dem_synthetic,simulated
ISRO-2008-0232,25.529822,91.26534,3403.7,32.06,18.93,-0.0728,185.33,dem_synthetic,simulated
ISRO-2003-0233,26.193446,94.575217,2955.1,35.25,47.93,-0.0361,116.18,dem_synthetic,simulated
ISRO-2013-0234,25.579985,91.616467,2453.1,23.82,201.27,-0.084,82.22,dem_synthetic,simulated
ISRO-2022-0235,25.742523,92.903053,1485.1,33.24,41.97,0.0283,6.15,dem_synthetic,simulated
ISRO-2010-0236,26.468335,92.754162,2220.4,42.43,203.72,-0.0509,56.77,dem_synthetic,simulated
ISRO-2019-0237,25.473141,90.863934,1757.0,36.11,196.44,0.0158,42.22,dem_synthetic,simulated
ISRO-2014-0238,25.387516,92.482473,2129.8,33.96,42.82,-0.0242,13.46,dem_synthetic,simulated
ISRO-2013-0239,25.472344,90.971426,1607.0,27.2,163.42,0.0254,51.31,dem_synthetic,simulated
ISRO-2020-0240,23.424747,92.52502,756.0,20.24,150.01,0.0172,12.05,dem_synthetic,simulated
ISRO-2010-0241,27.400136,88.388616,2684.4,45.88,217.76,-0.0287,10.56,dem_synthetic,simulated
ISRO-1998-0242,24.769589,94.472005,1403.6,23.43,183.12,0.0532,9.74,dem_synthetic,simulated
ISRO-2009-0243,27.551703,88.272783,2002.2,38.37,304.73,-0.001,195.62,dem_synthetic,simulated
ISRO-2018-0244,27.212843,92.850674,2778.1,35.62,249.34,0.0078,171.38,dem_synthetic,simulated
ISRO-2017-0245,27.735101,88.602951,2343.1,39.27,247.0,-0.0432,38.45,dem_synthetic,simulated
ISRO-2013-0246,23.758627,91.335921,792.3,24.34,243.04,0.0519,150.1,dem_synthetic,simulated
ISRO-2009-0247,25.504915,90.906107,2504.6,23.47,330.89,-0.0251,96.31,dem_synthetic,simulated
ISRO-2009-0248,26.421284,94.617073,3108.4,41.74,216.47,0.0813,113.49,dem_synthetic,simulated
ISRO-2013-0249,23.613335,92.578947,1380.2,17.26,343.41,0.1291,111.41,dem_synthetic,simulated
ISRO-2006-0250,27.285622,88.387653,1219.6,40.09,180.43,0.0826,41.28,dem_synthetic,simulated
ISRO-2019-0251,25.373195,91.626488,1675.0,21.12,165.77,-0.0679,82.66,dem_synthetic,simulated
