event_id,latitude,longitude,ground_displacement,displacement_class,data_source,data_quality
ISRO-2012-0059,24.599888,93.974617,4.89,creep,sentinel1_synthetic,simulated
ISRO-2000-0060,26.817047,92.889038,12.27,creep,sentinel1_synthetic,simulated
ISRO-2008-0061,26.858814,93.044153,2.27,stable,sentinel1_synthetic,simulated
ISRO-2012-0062,27.332886,95.301001,59.04,active,sentinel1_synthetic,simulated
ISRO-2008-0063,26.563006,94.130329,10.92,creep,sentinel1_synthetic,simulated
ISRO-2011-0064,26.649935,93.907225,4.69,stable,sentinel1_synthetic,simulated
ISRO-1999-0065,27.190306,88.517065,1.06,stable,sentinel1_synthetic,simulated
ISRO-2019-0066,26.136131,94.326806,4.01,stable,sentinel1_synthetic,simulated
ISRO-2017-0067,24.905481,94.193833,3.38,stable,sentinel1_synthetic,simulated
ISRO-2011-0068,26.331876,93.832953,19.4,creep,sentinel1_synthetic,simulated
ISRO-2001-0069,22.874123,92.746286,3.25,stable,sentinel1_synthetic,simulated
ISRO-2002-0070,26.303552,93.672325,2.21,stable,sentinel1_synthetic,simulated
ISRO-2000-0071,27.471834,91.971794,14.84,creep,sentinel1_synthetic,simulated
ISRO-2007-0072,26.219764,94.419228,23.08,creep,sentinel1_synthetic,simulated
ISRO-2020-0073,25.043562,94.275137,0.11,stable,sentinel1_synthetic,simulated
ISRO-2020-0074,23.565416,91.438753,17.08,creep,sentinel1_synthetic,simulated
ISRO-2005-0075,24.549239,93.653657,5.53,creep,sentinel1_synthetic,simulated
ISRO-2009-0076,27.630716,88.601664,101.98,active,sentinel1_synthetic,simulated
ISRO-2016-0077,25.470044,91.026552,2.1,stable,sentinel1_synthetic,simulated
ISRO-2016-0078,23.423246,91.411935,1.37,stable,sentinel1_synthetic,simulated
ISRO-2022-0079,25.355788,91.546841,2.25,stable,sentinel1_synthetic,simulated
ISRO-1998-0080,25.436351,92.474349,12.12,creep,sentinel1_synthetic,simulated
ISRO-2016-0081,26.650436,93.774482,0.86,stable,sentinel1_synthetic,simulated
ISRO-2014-0082,25.264804,92.650678,57.38,active,sentinel1_synthetic,simulated
ISRO-2019-0083,26.199472,94.74516,17.71,creep,sentinel1_synthetic,simulated
ISRO-2006-0084,23.80882,92.653716,24.31,creep,sentinel1_synthetic,simulated
ISRO-2022-0085,26.500441,92.847606,1.94,stable,sentinel1_synthetic,simulated
ISRO-1999-0086,27.15099,94.958834,7.13,creep,sentinel1_synthetic,simulated
ISRO-2016-0087,23.520428,91.49227,0.33,stable,sentinel1_synthetic,simulated
ISRO-2016-0088,23.545372,91.67672,5.72,creep,sentinel1_synthetic,simulated
ISRO-2005-0089,27.630745,91.945987,15.82,creep,sentinel1_synthetic,simulated
ISRO-2018-0090,25.701277,92.843795,11.19,active,sentinel1_synthetic,simulated
ISRO-2010-0091,26.266486,94.467921,3.3,stable,sentinel1_synthetic,simulated
ISRO-2009-0092,23.508044,91.506285,78.12,active,sentinel1_synthetic,simulated
ISRO-2003-0093,24.901036,94.047063,39.74,active,sentinel1_synthetic,simulated
ISRO-2010-0094,27.294751,95.116547,21.57,creep,sentinel1_synthetic,simulated
ISRO-2004-0095,23.389932,92.791629,16.86,creep,sentinel1_synthetic,simulated
ISRO-2015-0096,27.325227,88.173687,9.63,creep,sentinel1_synthetic,simulated
ISRO-2000-0097,27.060075,92.870819,3.22,stable,sentinel1_synthetic,simulated
ISRO-2013-0098,25.331372,91.136469,3.76,stable,sentinel1_synthetic,simulated
ISRO-2022-0099,27.130768,88.45658,43.47,active,sentinel1_synthetic,simulated
ISRO-2005-0100,22.689054,92.564917,3.31,stable,sentinel1_synthetic,simulated
ISRO-2016-0101,26.008577,94.09501,45.55,active,sentinel1_synthetic,simulated
ISRO-2010-0102,26.545887,94.452004,2.22,stable,sentinel1_synthetic,simulated
ISRO-2020-0103,27.3181,95.260896,1.23,stable,sentinel1_synthetic,simulated
ISRO-2018-0104,23.25908,91.647857,13.27,active,sentinel1_synthetic,simulated
ISRO-2007-0105,25.58881,91.112885,0.57,stable,sentinel1_synthetic,simulated
ISRO-1998-0106,23.948014,91.310115,1.37,stable,sentinel1_synthetic,simulated
ISRO-2001-0107,25.530775,91.939221,0.76,stable,sentinel1_synthetic,simulated
ISRO-2016-0108,27.689183,88.339526,2.97,stable,sentinel1_synthetic,simulated
ISRO-2000-0109,25.201987,94.282786,30.18,active,sentinel1_synthetic,simulated
ISRO-2022-0110,26.438572,94.309656,15.86,creep,sentinel1_synthetic,simulated
ISRO-2008-0111,24.550887,94.117691,46.79,active,sentinel1_synthetic,simulated
ISRO-2002-0112,25.492281,91.319739,1.92,stable,sentinel1_synthetic,simulated
ISRO-2004-0113,25.251044,91.242883,8.69,creep,sentinel1_synthetic,simulated
ISRO-2021-0114,27.37626,95.197753,1.92,stable,sentinel1_synthetic,simulated
ISRO-2020-0115,26.542284,94.941183,23.62,creep,sentinel1_synthetic,simulated
ISRO-2000-0116,25.172898,94.158378,16.5,creep,sentinel1_synthetic,simulated
ISRO-2012-0117,24.917565,94.298016,22.12,creep,sentinel1_synthetic,simulated
ISRO-2021-0118,23.210328,92.898061,2.43,stable,sentinel1_synthetic,simulated
ISRO-2009-0119,27.972629,94.805123,3.71,stable,sentinel1_synthetic,simulated
ISRO-2004-0120,25.230627,91.62001,63.8,active,sentinel1_synthetic,simulated
ISRO-2011-0121,24.467282,93.715877,20.92,creep,sentinel1_synthetic,simulated
ISRO-2011-0122,24.653859,94.276592,11.82,creep,sentinel1_synthetic,simulated
ISRO-2009-0123,28.050226,94.715943,12.19,creep,sentinel1_synthetic,simulated
ISRO-2001-0124,27.510333,88.520694,27.7,active,sentinel1_synthetic,simulated
ISRO-2017-0125,22.755977,93.011892,1.06,stable,sentinel1_synthetic,simulated
ISRO-1999-0126,27.479131,88.214515,17.63,creep,sentinel1_synthetic,simulated
ISRO-2016-0127,24.48055,93.979976,2.39,stable,sentinel1_synthetic,simulated
ISRO-2014-0128,27.473004,94.970127,4.55,stable,sentinel1_synthetic,simulated
ISRO-2014-0129,26.40124,94.223768,3.56,stable,sentinel1_synthetic,simulated
ISRO-2010-0130,23.603543,92.65965,5.62,stable,sentinel1_synthetic,simulated
ISRO-2000-0131,27.383745,88.677759,72.74,active,sentinel1_synthetic,simulated
ISRO-2019-0132,23.67334,91.383925,45.35,active,sentinel1_synthetic,simulated
ISRO-2020-0133,27.051261,88.32104,14.9,creep,sentinel1_synthetic,simulated
ISRO-2006-0134,28.338064,94.649838,3.07,stable,sentinel1_synthetic,simulated
ISRO-2009-0135,25.017969,94.576992,10.21,active,sentinel1_synthetic,simulated
ISRO-2004-0136,27.506336,88.811937,27.1,active,sentinel1_synthetic,simulated
ISRO-2010-0137,27.278226,95.070113,0.71,stable,sentinel1_synthetic,simulated
ISRO-2003-0138,26.258028,94.080285,1.03,stable,sentinel1_synthetic,simulated
ISRO-2001-0139,25.637168,92.507852,17.87,creep,sentinel1_synthetic,simulated
ISRO-2013-0140,24.71645,94.140411,56.59,active,sentinel1_synthetic,simulated
ISRO-2014-0141,26.305922,94.366265,3.29,stable,sentinel1_synthetic,simulated
ISRO-2014-0142,26.546021,94.949711,2.94,stable,sentinel1_synthetic,simulated
ISRO-2009-0143,26.062388,93.67571,6.58,creep,sentinel1_synthetic,simulated
ISRO-2008-0144,23.710773,91.42441,1.12,stable,sentinel1_synthetic,simulated
ISRO-2000-0145,27.026763,88.31692,25.47,creep,sentinel1_synthetic,simulated
ISRO-1998-0146,27.376129,95.361564,4.29,stable,sentinel1_synthetic,simulated
ISRO-2018-0147,24.796378,94.047241,1.91,stable,sentinel1_synthetic,simulated
ISRO-2009-0148,26.133952,94.359595,10.56,creep,sentinel1_synthetic,simulated
ISRO-2002-0149,26.561554,92.749253,24.98,creep,sentinel1_synthetic,simulated
ISRO-2019-0150,26.637798,92.986429,0.05,stable,sentinel1_synthetic,simulated
ISRO-2012-0151,27.625454,91.964273,20.82,creep,sentinel1_synthetic,simulated
ISRO-2004-0152,22.859328,92.928955,8.42,creep,sentinel1_synthetic,simulated
ISRO-2005-0153,26.432048,92.888326,77.77,active,sentinel1_synthetic,simulated
ISRO-2002-0154,26.495132,94.684978,2.18,stable,sentinel1_synthetic,simulated
ISRO-2002-0155,25.389764,91.957046,12.39,creep,sentinel1_synthetic,simulated
ISRO-2019-0156,22.810199,92.730379,8.61,creep,sentinel1_synthetic,simulated
ISRO-2020-0157,26.514833,94.499916,5.23,stable,sentinel1_synthetic,simulated
ISRO-2016-0158,23.659904,91.61303,19.3,creep,sentinel1_synthetic,simulated
ISRO-2012-0159,27.453095,95.035171,3.44,stable,sentinel1_synthetic,simulated
ISRO-2007-0160,26.342376,94.514026,64.11,active,sentinel1_synthetic,simulated
ISRO-2006-0161,23.354335,92.66576,11.5,creep,sentinel1_synthetic,simulated
ISRO-2009-0162,26.133967,93.880909,3.27,creep,sentinel1_synthetic,simulated
ISRO-2000-0163,25.333031,91.111557,0.77,stable,sentinel1_synthetic,simulated
ISRO-2018-0164,25.713752,91.048697,14.41,creep,sentinel1_synthetic,simulated
ISRO-2012-0165,26.952309,88.069271,11.62,creep,sentinel1_synthetic,simulated
ISRO-2010-0166,25.482879,92.452737,16.33,creep,sentinel1_synthetic,simulated
ISRO-2004-0167,27.930294,94.837454,9.83,creep,sentinel1_synthetic,simulated
ISRO-2002-0168,27.547136,88.589074,55.17,active,sentinel1_synthetic,simulated
ISRO-2022-0169,22.953606,92.76249,47.11,active,sentinel1_synthetic,simulated
ISRO-2005-0170,28.001898,94.887167,52.28,active,sentinel1_synthetic,simulated
ISRO-2014-0171,22.838367,92.859357,1.32,stable,sentinel1_synthetic,simulated
ISRO-2002-0172,25.622071,90.098405,26.74,creep,sentinel1_synthetic,simulated
ISRO-2014-0173,23.585705,92.767117,0.85,stable,sentinel1_synthetic,simulated
ISRO-2021-0174,25.0702,92.202899,1.14,creep,sentinel1_synthetic,simulated
ISRO-2000-0175,26.979912,88.467354,15.25,creep,sentinel1_synthetic,simulated
ISRO-2009-0176,26.081559,94.934376,0.81,stable,sentinel1_synthetic,simulated
ISRO-2019-0177,23.803922,92.66501,17.32,creep,sentinel1_synthetic,simulated
ISRO-2011-0178,26.121748,94.099461,17.65,creep,sentinel1_synthetic,simulated
ISRO-2007-0179,26.045753,93.694877,14.2,creep,sentinel1_synthetic,simulated
ISRO-1998-0180,27.128762,95.05291,0.36,stable,sentinel1_synthetic,simulated
ISRO-2003-0181,27.874559,94.526801,15.91,creep,sentinel1_synthetic,simulated
ISRO-2013-0182,23.550934,92.650292,1.02,stable,sentinel1_synthetic,simulated
ISRO-2003-0183,25.268921,92.322847,10.24,creep,sentinel1_synthetic,simulated
ISRO-2014-0184,26.486427,92.76738,20.53,creep,sentinel1_synthetic,simulated
ISRO-2000-0185,27.298824,88.609775,2.86,stable,sentinel1_synthetic,simulated
ISRO-2008-0186,26.983413,88.346478,16.49,creep,sentinel1_synthetic,simulated
ISRO-2020-0187,25.287781,91.880165,1.55,creep,sentinel1_synthetic,simulated
ISRO-2019-0188,26.565533,94.123837,2.12,stable,sentinel1_synthetic,simulated
ISRO-2018-0189,22.902881,92.918287,3.23,stable,sentinel1_synthetic,simulated
ISRO-2013-0190,24.923635,94.597344,0.63,stable,sentinel1_synthetic,simulated
ISRO-2005-0191,24.514696,94.091413,15.45,creep,sentinel1_synthetic,simulated
ISRO-2001-0192,26.186715,94.604167,0.02,stable,sentinel1_synthetic,simulated
ISRO-2017-0193,25.623995,92.857537,19.4,creep,sentinel1_synthetic,simulated
ISRO-2009-0194,25.44603,92.570464,6.12,creep,sentinel1_synthetic,simulated
ISRO-2005-0195,26.134636,94.367999,12.89,creep,sentinel1_synthetic,simulated
ISRO-2022-0196,22.956758,92.99489,24.19,creep,sentinel1_synthetic,simulated
ISRO-2009-0197,23.397157,92.653681,6.69,creep,sentinel1_synthetic,simulated
ISRO-2017-0198,26.673918,94.447412,3.52,stable,sentinel1_synthetic,simulated
ISRO-2013-0199,27.519403,88.52232,0.88,stable,sentinel1_synthetic,simulated
ISRO-2021-0200,22.85144,92.96706,2.12,stable,sentinel1_synthetic,simulated
ISRO-2020-0201,27.020028,88.388854,0.22,stable,sentinel1_synthetic,simulated
ISRO-2008-0202,27.566258,91.676517,2.88,stable,sentinel1_synthetic,simulated
ISRO-1998-0203,23.735584,92.747039,17.64,creep,sentinel1_synthetic,simulated
ISRO-2007-0204,27.123538,92.935772,2.66,stable,sentinel1_synthetic,simulated
ISRO-2014-0205,25.595201,91.241494,2.99,stable,sentinel1_synthetic,simulated
ISRO-2016-0206,27.098894,95.184116,0.44,stable,sentinel1_synthetic,simulated
ISRO-2020-0207,26.65136,94.083015,2.0,stable,sentinel1_synthetic,simulated
ISRO-2003-0208,23.973336,91.249598,9.66,active,sentinel1_synthetic,simulated
ISRO-2020-0209,24.675499,94.07419,20.76,creep,sentinel1_synthetic,simulated
ISRO-2016-0210,25.314147,91.140419,1.21,stable,sentinel1_synthetic,simulated
ISRO-2016-0211,23.660253,91.724676,0.51,stable,sentinel1_synthetic,simulated
ISRO-2012-0212,25.447551,91.143446,14.81,creep,sentinel1_synthetic,simulated
ISRO-2002-0213,26.447616,94.930313,3.4,stable,sentinel1_synthetic,simulated
ISRO-2009-0214,23.943314,92.296904,37.46,creep,sentinel1_synthetic,simulated
ISRO-2022-0215,23.591765,92.60066,0.19,stable,sentinel1_synthetic,simulated
ISRO-1998-0216,23.660079,91.405959,2.51,stable,sentinel1_synthetic,simulated
ISRO-1998-0217,26.448218,94.222574,0.59,stable,sentinel1_synthetic,simulated
ISRO-2020-0218,26.357962,94.015646,2.4,stable,sentinel1_synthetic,simulated
ISRO-2015-0219,25.06778,94.221997,20.95,creep,sentinel1_synthetic,simulated
ISRO-2020-0220,27.755876,91.724782,23.73,creep,sentinel1_synthetic,simulated
ISRO-2006-0221,27.134567,88.455886,19.98,creep,sentinel1_synthetic,simulated
ISRO-2001-0222,27.763627,91.84012,3.12,stable,sentinel1_synthetic,simulated
ISRO-2015-0223,23.773696,91.223032,5.71,stable,sentinel1_synthetic,simulated
ISRO-2004-0224,26.671035,93.915101,25.73,creep,sentinel1_synthetic,simulated
ISRO-2003-0225,26.594451,94.204898,4.37,stable,sentinel1_synthetic,simulated
ISRO-2013-0226,25.061773,93.91754,2.74,stable,sentinel1_synthetic,simulated
ISRO-2008-0227,27.893356,94.561184,0.11,stable,sentinel1_synthetic,simulated
ISRO-2017-0228,27.586278,91.799597,2.66,stable,sentinel1_synthetic,simulated
ISRO-2016-0229,23.285925,91.607844,13.29,creep,sentinel1_synthetic,simulated
ISRO-2009-0230,25.340442,90.858458,12.63,creep,sentinel1_synthetic,simulated
ISRO-1998-0231,26.234991,94.327142,3.85,stable,sentinel1_synthetic,simulated
ISRO-2008-0232,25.529822,91.26534,61.66,active,sentinel1_synthetic,simulated
ISRO-2003-0233,26.193446,94.575217,41.65,active,sentinel1_synthetic,simulated
ISRO-2013-0234,25.579985,91.616467,16.78,creep,sentinel1_synthetic,simulated
ISRO-2022-0235,25.742523,92.903053,1.88,stable,sentinel1_synthetic,simulated
ISRO-2010-0236,26.468335,92.754162,2.88,stable,sentinel1_synthetic,simulated
ISRO-2019-0237,25.473141,90.863934,0.58,stable,sentinel1_synthetic,simulated
ISRO-2014-0238,25.387516,92.482473,4.76,stable,sentinel1_synthetic,simulated
ISRO-2013-0239,25.472344,90.971426,2.55,stable,sentinel1_synthetic,simulated
ISRO-2020-0240,23.424747,92.52502,65.15,active,sentinel1_synthetic,simulated
ISRO-2010-0241,27.400136,88.388616,52.67,active,sentinel1_synthetic,simulated
ISRO-1998-0242,24.769589,94.472005,0.47,stable,sentinel1_synthetic,simulated
ISRO-2009-0243,27.551703,88.272783,84.6,active,sentinel1_synthetic,simulated
ISRO-2018-0244,27.212843,92.850674,1.02,stable,sentinel1_synthetic,simulated
ISRO-2017-0245,27.735101,88.602951,16.8,creep,sentinel1_synthetic,simulated
ISRO-2013-0246,23.758627,91.335921,19.05,creep,sentinel1_synthetic,simulated
ISRO-2009-0247,25.504915,90.906107,51.59,active,sentinel1_synthetic,simulated
ISRO-2009-0248,26.421284,94.617073,12.46,creep,sentinel1_synthetic,simulated
ISRO-2013-0249,23.613335,92.578947,19.4,creep,sentinel1_synthetic,simulated
ISRO-2006-0250,27.285622,88.387653,5.45,creep,sentinel1_synthetic,simulated
ISRO-2019-0251,25.373195,91.626488,2.74,stable,sentinel1_synthetic,simulated
ISRO-2001-0252,26.193767,93.673686,62.33,active,sentinel1_synthetic,simulated
ISRO-2004-0253,25.266022,92.757193,1.2,stable,sentinel1_synthetic,simulated
ISRO-2009-0254,25.347036,91.555151,54.85,active,sentinel1_synthetic,simulated
ISRO-2006-0255,26.46064,93.800144,3.61,stable,sentinel1_synthetic,simulated
ISRO-2005-0256,27.343778,88.366178,2.34,stable,sentinel1_synthetic,simulated
ISRO-2001-0257,25.418143,91.243824,33.3,active,sentinel1_synthetic,simulated
ISRO-2022-0258,26.987438,92.815461,3.42,stable,sentinel1_synthetic,simulated
ISRO-2008-0259,25.915053,90.301206,5.38,creep,sentinel1_synthetic,simulated
ISRO-2004-0260,27.177738,92.944945,1.74,stable,sentinel1_synthetic,simulated
ISRO-2007-0261,24.350092,93.990017,10.73,creep,sentinel1_synthetic,simulated
ISRO-2015-0262,26.083255,93.830649,1.41,stable,sentinel1_synthetic,simulated
ISRO-1998-0263,26.4973,93.811969,27.39,active,sentinel1_synthetic,simulated
ISRO-2013-0264,26.60518,94.306793,1.07,stable,sentinel1_synthetic,simulated
ISRO-2002-0265,26.356555,94.457062,12.22,creep,sentinel1_synthetic,simulated
ISRO-2004-0266,25.166405,91.289677,21.87,creep,sentinel1_synthetic,simulated
ISRO-2000-0267,25.162602,91.251057,3.3,stable,sentinel1_synthetic,simulated
ISRO-2005-0268,23.93697,91.432378,0.21,stable,sentinel1_synthetic,simulated
ISRO-2005-0269,26.714621,93.797171,1.51,stable,sentinel1_synthetic,simulated
ISRO-2017-0270,23.849611,92.551205,3.42,stable,sentinel1_synthetic,simulated
ISRO-2009-0271,23.582607,92.446368,37.0,active,sentinel1_synthetic,simulated
ISRO-2006-0272,26.501256,93.958872,70.59,active,sentinel1_synthetic,simulated
ISRO-2008-0273,25.861956,90.178361,34.64,creep,sentinel1_synthetic,simulated
ISRO-2011-0274,23.634989,91.459114,0.44,stable,sentinel1_synthetic,simulated
ISRO-2016-0275,24.579424,94.448928,27.24,active,sentinel1_synthetic,simulated
ISRO-2000-0276,25.018526,94.597364,10.86,creep,sentinel1_synthetic,simulated
ISRO-2001-0277,25.102076,92.349883,15.05,creep,sentinel1_synthetic,simulated
ISRO-2000-0278,27.414816,88.523747,0.88,stable,sentinel1_synthetic,simulated
ISRO-2020-0279,25.576654,90.402636,3.05,stable,sentinel1_synthetic,simulated
ISRO-2000-0280,25.224926,94.224257,3.39,stable,sentinel1_synthetic,simulated
ISRO-2005-0281,25.080315,92.034439,3.31,stable,sentinel1_synthetic,simulated
ISRO-2007-0282,25.322692,91.416953,0.88,stable,sentinel1_synthetic,simulated
ISRO-2020-0283,27.146836,92.779359,26.21,creep,sentinel1_synthetic,simulated
ISRO-2012-0284,24.813282,94.22576,21.53,creep,sentinel1_synthetic,simulated
ISRO-2016-0285,25.171228,94.284527,19.07,creep,sentinel1_synthetic,simulated
ISRO-2008-0286,25.144052,92.019512,74.46,active,sentinel1_synthetic,simulated
ISRO-2002-0287,27.196156,95.436035,0.96,stable,sentinel1_synthetic,simulated
ISRO-2016-0288,27.871588,94.452429,15.87,creep,sentinel1_synthetic,simulated
ISRO-2008-0289,27.412322,88.410857,2.75,stable,sentinel1_synthetic,simulated
ISRO-2007-0290,24.340353,93.82606,3.66,stable,sentinel1_synthetic,simulated
ISRO-1998-0291,27.083489,88.551637,2.3,stable,sentinel1_synthetic,simulated
ISRO-2012-0292,26.998999,93.040219,54.06,active,sentinel1_synthetic,simulated
ISRO-2019-0293,26.434786,94.233873,3.06,stable,sentinel1_synthetic,simulated
ISRO-2016-0294,27.383199,91.981274,23.59,creep,sentinel1_synthetic,simulated
ISRO-2003-0295,26.524137,93.963122,0.15,stable,sentinel1_synthetic,simulated
ISRO-2018-0296,25.475875,90.288824,2.87,stable,sentinel1_synthetic,simulated
ISRO-2007-0297,28.110722,94.681114,5.95,creep,sentinel1_synthetic,simulated
ISRO-2019-0298,26.35106,94.516893,22.35,creep,sentinel1_synthetic,simulated
ISRO-1999-0299,27.431126,95.443593,15.64,creep,sentinel1_synthetic,simulated
ISRO-2006-0300,27.055467,88.647595,82.6,active,sentinel1_synthetic,simulated
ISRO-2012-0301,23.546135,92.826537,0.65,stable,sentinel1_synthetic,simulated
ISRO-2006-0302,27.715972,88.490948,2.94,stable,sentinel1_synthetic,simulated
ISRO-2003-0303,24.513818,93.683687,1.09,stable,sentinel1_synthetic,simulated
ISRO-2020-0304,27.11285,92.78431,3.45,stable,sentinel1_synthetic,simulated
ISRO-2012-0305,27.411232,88.498637,20.86,creep,sentinel1_synthetic,simulated
ISRO-2022-0306,24.630195,94.251203,30.4,active,sentinel1_synthetic,simulated
ISRO-2012-0307,27.542596,88.478667,1.96,stable,sentinel1_synthetic,simulated
ISRO-2013-0308,27.400597,91.686578,3.32,creep,sentinel1_synthetic,simulated
ISRO-2003-0309,26.517008,92.96372,11.34,creep,sentinel1_synthetic,simulated
ISRO-2016-0310,27.609877,91.734116,4.1,stable,sentinel1_synthetic,simulated
ISRO-2010-0311,24.66742,94.202875,2.74,stable,sentinel1_synthetic,simulated
ISRO-2000-0312,25.75433,90.529548,0.23,stable,sentinel1_synthetic,simulated
ISRO-2011-0313,23.355871,91.759725,1.44,stable,sentinel1_synthetic,simulated
ISRO-2004-0314,25.976663,94.720176,0.62,stable,sentinel1_synthetic,simulated
ISRO-2000-0315,27.298376,88.266366,1.99,stable,sentinel1_synthetic,simulated
ISRO-2002-0316,24.831658,94.334047,22.56,creep,sentinel1_synthetic,simulated
ISRO-2018-0317,23.865643,91.360073,1.78,stable,sentinel1_synthetic,simulated
ISRO-2017-0318,26.338641,92.556199,19.7,creep,sentinel1_synthetic,simulated
ISRO-2011-0319,26.937639,93.234966,30.52,active,sentinel1_synthetic,simulated
ISRO-2014-0320,27.525001,95.092611,13.24,creep,sentinel1_synthetic,simulated
ISRO-2013-0321,27.389155,88.723366,0.78,stable,sentinel1_synthetic,simulated
ISRO-2014-0322,25.247778,93.857902,9.06,creep,sentinel1_synthetic,simulated
ISRO-2015-0323,25.679483,92.511145,0.18,stable,sentinel1_synthetic,simulated
ISRO-1998-0324,24.772628,94.31718,9.46,creep,sentinel1_synthetic,simulated
ISRO-2014-0325,26.112205,94.597695,58.57,active,sentinel1_synthetic,simulated
