event_id,latitude,longitude,date,trigger,event_type,severity,state,district,source_name,source_link,data_source,data_quality,license
COOLR-SYN-0028,26.374556,92.709577,2009-07-09,rain,rockfall,large,Arunachal Pradesh,East Kameng,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0029,22.957572,92.97562,2018-04-14,rain,debris_flow,small,Mizoram,Lunglei,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0030,25.513543,92.617845,2009-09-20,rain,mudflow,small,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0031,26.904968,93.101818,2017-09-18,rain,mudflow,medium,Arunachal Pradesh,Papum Pare,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0032,25.041131,94.123945,2017-07-22,human_activity,mudflow,small,Manipur,Chandel,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0033,24.636913,93.956661,2018-06-18,human_activity,rockfall,small,Manipur,Ukhrul,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0034,26.658992,94.146035,2021-09-07,earthquake,rockfall,medium,Assam,Dima Hasao,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0035,26.283638,94.029361,2011-06-26,earthquake,debris_flow,very_large,Assam,Dima Hasao,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0036,22.955186,93.079746,2010-03-05,human_activity,debris_flow,medium,Mizoram,Lunglei,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0037,27.375304,88.018328,2012-08-23,monsoonal_rain,rotational_slide,medium,Sikkim,West Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0038,25.473047,91.46878,2008-07-15,rain,rockfall,small,Assam,Kamrup,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0039,26.550587,94.498696,2019-05-12,monsoonal_rain,rotational_slide,large,Nagaland,Mokokchung,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0040,27.875081,91.945881,2017-09-07,rain,translational_slide,medium,Arunachal Pradesh,Tawang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0041,23.281091,92.959221,2014-08-22,rain,mudflow,medium,Mizoram,Aizawl,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0042,26.167605,92.851852,2021-12-15,rain,mudflow,small,Arunachal Pradesh,East Kameng,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0043,28.389951,94.89823,2014-04-02,unknown,rotational_slide,very_large,Arunachal Pradesh,Upper Siang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0044,26.489235,94.961801,2020-05-26,rain_and_snowmelt,mudflow,small,Nagaland,Mokokchung,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0045,27.710056,88.338914,2017-10-17,human_activity,translational_slide,medium,Sikkim,North Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0046,22.688349,93.085358,2015-10-19,unknown,rockfall,small,Mizoram,Lunglei,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0047,27.428542,91.951016,2017-08-05,monsoonal_rain,translational_slide,small,Arunachal Pradesh,Tawang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0048,27.349422,88.117505,2013-01-15,rain,rotational_slide,small,Sikkim,North Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0049,23.721759,91.75229,2012-08-23,rain_and_snowmelt,mudflow,medium,Tripura,Gomati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0050,25.583592,90.486285,2008-04-03,rain_and_snowmelt,debris_flow,large,Meghalaya,South Garo Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0051,27.046261,95.274911,2011-08-19,rain,mudflow,small,Arunachal Pradesh,Lohit,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0052,23.453347,91.640622,2014-07-19,rain_and_snowmelt,debris_flow,medium,Tripura,Gomati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0053,24.910985,94.665585,2014-11-03,monsoonal_rain,rockfall,small,Manipur,Senapati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0054,25.322694,91.998986,2007-08-14,human_activity,translational_slide,medium,Meghalaya,East Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0055,27.597259,88.514357,2012-12-21,rain,mudflow,large,Sikkim,East Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0056,25.388237,92.411634,2016-12-11,rain_and_snowmelt,debris_flow,small,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0057,27.375029,95.059365,2015-09-19,human_activity,rockfall,very_large,Arunachal Pradesh,Lohit,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0058,27.156433,88.071376,2013-09-05,rain,rotational_slide,medium,Sikkim,West Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0059,25.161418,93.964741,2022-12-27,rain,translational_slide,small,Manipur,Chandel,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0060,26.636049,93.983477,2014-07-13,human_activity,rotational_slide,very_large,Nagaland,Dimapur,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0061,26.722872,93.707938,2009-05-22,rain,translational_slide,small,Nagaland,Dimapur,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0062,27.029527,88.42718,2009-04-22,earthquake,rotational_slide,small,Sikkim,West Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0063,25.654129,92.577063,2016-10-05,rain,translational_slide,small,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0064,26.679202,92.818057,2018-09-22,rain,translational_slide,large,Arunachal Pradesh,East Kameng,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0065,24.39486,94.076364,2013-07-19,rain,mudflow,small,Manipur,Ukhrul,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0066,26.678141,94.278574,2019-06-06,rain,rockfall,small,Nagaland,Dimapur,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0067,27.489484,91.897464,2008-09-06,human_activity,debris_flow,large,Arunachal Pradesh,Tawang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0068,22.793359,92.862636,2019-04-24,rain,translational_slide,medium,Mizoram,Lunglei,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0069,24.994389,94.053008,2014-09-23,rain,debris_flow,medium,Manipur,Chandel,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0070,25.67581,92.902645,2011-07-07,rain_and_snowmelt,rockfall,small,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0071,27.160749,95.423582,2011-06-14,monsoonal_rain,mudflow,small,Arunachal Pradesh,Lohit,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0072,27.46759,95.044953,2020-11-05,rain,mudflow,small,Arunachal Pradesh,Lohit,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0073,23.312205,91.697654,2014-12-26,rain,mudflow,small,Tripura,Gomati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0074,27.695666,91.709101,2022-10-27,human_activity,debris_flow,very_large,Arunachal Pradesh,Tawang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0075,22.859405,92.887289,2021-08-04,earthquake,rotational_slide,large,Mizoram,Lunglei,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0076,26.146315,93.014719,2007-09-01,rain_and_snowmelt,mudflow,large,Arunachal Pradesh,East Kameng,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0077,25.080945,92.08286,2016-06-05,monsoonal_rain,translational_slide,medium,Meghalaya,East Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0078,27.473332,91.663204,2014-05-03,earthquake,translational_slide,medium,Arunachal Pradesh,Tawang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0079,25.646563,92.543454,2013-08-18,human_activity,debris_flow,large,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0080,26.900897,92.757859,2019-08-06,rain_and_snowmelt,translational_slide,medium,Arunachal Pradesh,Papum Pare,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0081,23.629534,91.760134,2009-08-17,rain,rockfall,small,Tripura,Gomati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0082,25.953712,94.44601,2021-06-26,unknown,debris_flow,small,Nagaland,Kohima,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0083,27.617477,92.022242,2020-09-07,rain_and_snowmelt,rockfall,large,Arunachal Pradesh,Tawang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0084,26.721789,94.034842,2018-08-23,human_activity,rockfall,large,Nagaland,Dimapur,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0085,23.134189,92.674404,2011-08-26,rain,rotational_slide,small,Mizoram,Aizawl,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0086,27.387175,88.656609,2016-06-06,rain,rockfall,large,Sikkim,North Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0087,25.718288,92.647348,2018-09-18,rain_and_snowmelt,translational_slide,small,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0088,25.762103,92.791757,2021-04-11,rain,translational_slide,small,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0089,26.433527,93.056509,2016-10-01,monsoonal_rain,rotational_slide,medium,Arunachal Pradesh,East Kameng,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0090,23.185602,92.807138,2015-01-24,human_activity,translational_slide,medium,Mizoram,Aizawl,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0091,27.710717,88.408769,2021-07-22,earthquake,debris_flow,medium,Sikkim,North Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0092,26.704761,93.919223,2016-07-22,human_activity,rockfall,medium,Nagaland,Dimapur,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0093,23.952179,91.324882,2020-08-01,rain,mudflow,very_large,Tripura,West Tripura,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0094,27.51471,88.836559,2013-08-07,human_activity,rotational_slide,large,Sikkim,East Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0095,26.53895,94.060542,2022-12-15,rain,mudflow,medium,Assam,Dima Hasao,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0096,22.673416,93.082699,2010-07-11,rain,debris_flow,small,Mizoram,Lunglei,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0097,25.673252,91.669729,2012-07-18,monsoonal_rain,translational_slide,medium,Assam,Kamrup,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0098,22.813673,93.052559,2021-06-05,monsoonal_rain,rotational_slide,small,Mizoram,Lunglei,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0099,26.074795,94.520228,2013-07-01,rain_and_snowmelt,rockfall,large,Nagaland,Mokokchung,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0100,25.655645,90.53456,2017-09-09,rain,rockfall,medium,Meghalaya,South Garo Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0101,24.799413,93.621209,2012-07-20,rain_and_snowmelt,mudflow,large,Manipur,Ukhrul,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0102,26.484641,94.535945,2011-11-14,earthquake,translational_slide,small,Nagaland,Kohima,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0103,27.425782,88.349408,2022-10-15,rain,translational_slide,medium,Sikkim,North Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0104,23.629258,91.768606,2013-09-16,rain_and_snowmelt,mudflow,large,Tripura,Gomati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0105,27.047118,88.571581,2017-07-25,rain,rotational_slide,small,Sikkim,East Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0106,26.243827,94.731286,2007-09-17,monsoonal_rain,rotational_slide,small,Nagaland,Kohima,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0107,25.673999,92.950917,2018-08-02,rain,rockfall,large,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0108,27.08299,88.509643,2010-08-05,rain,debris_flow,small,Sikkim,West Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0109,24.538994,93.953079,2009-12-23,rain,debris_flow,large,Manipur,Ukhrul,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0110,26.42286,94.228125,2012-07-06,unknown,rotational_slide,small,Nagaland,Kohima,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0111,23.908915,91.162032,2022-12-10,rain,translational_slide,small,Tripura,West Tripura,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0112,26.54548,94.835463,2016-09-03,rain,mudflow,medium,Nagaland,Mokokchung,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0113,27.462606,88.2921,2015-09-02,monsoonal_rain,rockfall,large,Sikkim,West Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0114,26.02142,93.98521,2007-08-21,monsoonal_rain,translational_slide,small,Assam,Karbi Anglong,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0115,25.693725,91.264338,2014-01-05,earthquake,rockfall,medium,Meghalaya,West Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0116,25.925331,93.626542,2016-10-04,rain,rockfall,medium,Assam,Karbi Anglong,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0117,25.436809,92.063739,2007-10-20,rain,mudflow,medium,Meghalaya,East Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0118,27.321754,95.003221,2018-10-04,rain,rotational_slide,small,Arunachal Pradesh,Lohit,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0119,25.78809,92.78774,2007-06-20,rain,debris_flow,medium,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0120,23.562153,91.498141,2018-07-27,rain,translational_slide,medium,Tripura,West Tripura,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0121,25.130072,94.260025,2018-06-04,human_activity,rotational_slide,small,Manipur,Chandel,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0122,25.042154,94.690907,2022-02-06,human_activity,mudflow,small,Manipur,Senapati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0123,25.273063,91.460605,2018-08-07,earthquake,debris_flow,small,Assam,Kamrup,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0124,27.062492,88.165059,2014-08-03,rain,debris_flow,large,Sikkim,West Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0125,25.179454,91.827363,2007-03-18,rain_and_snowmelt,debris_flow,large,Meghalaya,East Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0126,23.482803,92.715975,2019-05-16,rain_and_snowmelt,rotational_slide,medium,Mizoram,Champhai,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0127,25.024534,91.966671,2016-08-26,rain,rockfall,small,Meghalaya,East Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0128,26.598038,94.452386,2012-07-12,rain,rockfall,medium,Nagaland,Mokokchung,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0129,25.39989,91.144321,2021-08-08,rain,mudflow,medium,Meghalaya,West Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0130,27.469356,95.450824,2010-10-14,rain,rockfall,small,Arunachal Pradesh,Lohit,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0131,27.470457,95.101345,2012-10-10,rain,rotational_slide,large,Arunachal Pradesh,Lohit,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0132,25.884982,94.040086,2018-02-11,rain,translational_slide,large,Assam,Karbi Anglong,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
