canonical_event_id,latitude,longitude,date,state,district,event_type,trigger,severity,data_source,data_quality,landslide_event,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_48h,rainfall_7d,rainfall_intensity,rainfall_data_source,elevation,slope,aspect,curvature,terrain_ruggedness,soil_moisture,soil_texture,soil_ph,soil_organic_carbon,ndvi,land_cover,ground_displacement,historical_landslide_frequency,historical_landslide_distance,population_exposure,infrastructure_exposure,distance_to_road,distance_to_river,is_ner
CE-00027,27.111877,88.813781,2001-07-11,Sikkim,East Sikkim,rotational_slide,human_activity,medium,isro_atlas_synthetic,simulated,1,2.14,32.09,5.84,46.54,71.18,80.4,2.142,gpm_synthetic,,,,,,,,,,,,,7,0.0,304.0,1.63,9.47,0.7,1
CE-00028,25.712404,90.76243,2005-08-15,Meghalaya,West Khasi Hills,translational_slide,rain,low,isro_atlas_synthetic,simulated,1,1.1,2.68,0.23,34.91,42.07,164.19,1.1,gpm_synthetic,,,,,,,,,,,,,6,0.0,1.0,2.27,0.04,1.02,1
CE-00029,27.648021,92.016512,2022-07-22,Arunachal Pradesh,Tawang,mudflow,rain,high,isro_atlas_synthetic,simulated,1,3.03,6.45,133.03,109.77,199.34,1062.66,3.026,gpm_synthetic,,,,,,,,,,,,,11,0.0,751.0,0.96,3.15,6.2,1
CE-00030,26.248409,93.76632,2018-08-15,Assam,Karbi Anglong,translational_slide,human_activity,high,isro_atlas_synthetic,simulated,1,4.34,0.6,0.94,39.87,40.52,44.81,4.338,gpm_synthetic,,,,,,,,,,,,,20,0.0,147.0,3.62,6.51,0.41,1
CE-00031,26.962941,93.075966,2007-07-24,Arunachal Pradesh,Papum Pare,rockfall,rain,low,isro_atlas_synthetic,simulated,1,0.11,16.37,0.66,37.73,48.99,64.94,0.115,gpm_synthetic,,,,,,,,,,,,,8,0.0,13.0,0.42,6.27,1.66,1
CE-00032,27.102639,88.383279,2018-05-17,Sikkim,East Sikkim,rockfall,rain,high,isro_atlas_synthetic,simulated,1,0.03,3.76,38.74,24.39,40.78,58.86,0.034,gpm_synthetic,,,,,,,,,,,,,15,0.0,1886.0,13.91,1.55,2.18,1
CE-00033,27.032766,88.19236,2021-05-05,Sikkim,West Sikkim,translational_slide,rain,low,isro_atlas_synthetic,simulated,1,1.63,2.23,44.31,46.38,48.46,197.72,1.634,gpm_synthetic,,,,,,,,,,,,,7,0.0,33.0,0.83,3.71,2.42,1
CE-00034,27.345572,88.690357,1999-07-11,Sikkim,East Sikkim,translational_slide,rain,medium,isro_atlas_synthetic,simulated,1,8.44,16.74,186.09,169.84,181.89,334.07,8.444,gpm_synthetic,,,,,,,,,,,,,14,0.0,714.0,0.7,1.95,2.32,1
CE-00035,25.340749,90.868372,1999-08-07,Meghalaya,West Khasi Hills,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,5.72,27.34,325.66,116.67,170.86,225.87,5.719,gpm_synthetic,,,,,,,,,,,,,7,0.0,256.0,1.4,4.85,0.88,1
CE-00036,23.600836,91.466729,2011-11-02,Tripura,West Tripura,mudflow,rain,low,isro_atlas_synthetic,simulated,1,0.81,0.46,8.98,10.84,29.15,47.45,0.811,gpm_synthetic,,,,,,,,,,,,,13,0.0,354.0,3.36,1.04,5.35,1
CE-00037,25.651013,92.839739,2022-09-18,Assam,Cachar,mudflow,earthquake,low,isro_atlas_synthetic,simulated,1,0.07,0.63,2.05,5.14,6.74,26.26,0.073,gpm_synthetic,,,,,,,,,,,,,16,0.0,60.0,4.68,11.52,3.93,1
CE-00038,23.4814,91.542545,2019-06-18,Tripura,Gomati,rotational_slide,rain_and_snowmelt,low,isro_atlas_synthetic,simulated,1,0.67,0.44,7.59,51.03,59.4,211.64,0.673,gpm_synthetic,,,,,,,,,,,,,8,0.0,416.0,1.5,3.37,13.28,1
CE-00039,23.333756,92.633196,2003-07-09,Mizoram,Aizawl,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,3.96,8.42,20.75,32.22,63.34,64.58,3.959,gpm_synthetic,,,,,,,,,,,,,7,0.0,778.0,5.42,2.43,0.06,1
CE-00040,23.690455,92.414181,2020-10-15,Mizoram,Champhai,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,0.19,6.88,24.08,27.24,36.19,54.13,0.191,gpm_synthetic,,,,,,,,,,,,,10,0.0,319.0,2.33,1.41,0.44,1
CE-00041,26.394078,94.117447,2013-09-06,Nagaland,Dimapur,mudflow,rain,high,isro_atlas_synthetic,simulated,1,2.4,5.49,21.04,84.41,115.19,131.81,2.402,gpm_synthetic,,,,,,,,,,,,,14,0.0,1390.0,9.24,2.95,4.36,1
CE-00042,23.012858,92.592247,2000-05-26,Mizoram,Lunglei,debris_flow,rain,very_high,isro_atlas_synthetic,simulated,1,3.8,3.59,0.52,26.6,49.33,61.51,3.804,gpm_synthetic,,,,,,,,,,,,,5,0.0,29.0,1.54,0.69,1.04,1
CE-00043,25.147557,94.323014,2017-08-07,Manipur,Chandel,rotational_slide,human_activity,low,isro_atlas_synthetic,simulated,1,0.05,0.05,1.86,7.14,10.6,14.52,0.046,gpm_synthetic,,,,,,,,,,,,,8,0.0,1318.0,4.64,0.63,2.72,1
CE-00044,27.036215,92.982993,2012-09-15,Arunachal Pradesh,Papum Pare,rotational_slide,rain_and_snowmelt,high,isro_atlas_synthetic,simulated,1,3.54,9.19,33.89,86.78,158.02,217.12,3.545,gpm_synthetic,,,,,,,,,,,,,7,0.0,56.0,2.15,0.64,5.29,1
CE-00045,26.809867,92.808552,2021-09-03,Arunachal Pradesh,Papum Pare,mudflow,unknown,medium,isro_atlas_synthetic,simulated,1,0.36,3.3,88.41,36.53,55.86,105.28,0.357,gpm_synthetic,,,,,,,,,,,,,9,0.0,228.0,3.79,6.46,3.16,1
CE-00046,26.399183,94.631266,2006-07-08,Nagaland,Kohima,rockfall,rain,low,isro_atlas_synthetic,simulated,1,1.18,114.65,273.13,218.73,258.1,878.07,1.182,gpm_synthetic,,,,,,,,,,,,,9,0.0,113.0,0.27,0.75,0.17,1
CE-00047,27.268952,95.14166,2021-08-20,Arunachal Pradesh,Lohit,rockfall,unknown,very_high,isro_atlas_synthetic,simulated,1,18.02,49.51,7.52,166.29,177.02,1311.75,18.018,gpm_synthetic,,,,,,,,,,,,,7,0.0,566.0,10.55,8.38,1.55,1
CE-00048,27.243316,93.10888,2007-05-26,Arunachal Pradesh,Papum Pare,mudflow,human_activity,high,isro_atlas_synthetic,simulated,1,10.32,12.15,43.63,48.69,49.9,169.0,10.325,gpm_synthetic,,,,,,,,,,,,,9,0.0,31.0,3.37,1.95,0.4,1
CE-00049,25.393048,91.856151,2012-10-13,Meghalaya,East Khasi Hills,mudflow,rain_and_snowmelt,low,isro_atlas_synthetic,simulated,1,0.4,0.4,14.84,11.38,16.68,30.53,0.397,gpm_synthetic,,,,,,,,,,,,,7,0.0,661.0,2.03,1.8,0.09,1
CE-00050,27.809221,91.940647,2005-12-03,Arunachal Pradesh,Tawang,translational_slide,rain,high,isro_atlas_synthetic,simulated,1,0.01,6.44,2.69,8.13,9.96,15.78,0.012,gpm_synthetic,,,,,,,,,,,,,4,0.0,426.0,7.72,6.54,0.58,1
CE-00051,28.349552,94.782842,2000-04-18,Arunachal Pradesh,Upper Siang,mudflow,rain,high,isro_atlas_synthetic,simulated,1,0.96,2.68,71.31,35.48,48.74,64.23,0.961,gpm_synthetic,,,,,,,,,,,,,4,0.0,745.0,0.75,1.17,0.6,1
CE-00052,25.138384,93.949102,2001-09-25,Manipur,Chandel,debris_flow,rain,low,isro_atlas_synthetic,simulated,1,6.31,12.01,13.7,84.67,341.1,397.73,6.309,gpm_synthetic,,,,,,,,,,,,,10,0.0,33.0,1.21,0.35,1.82,1
CE-00053,27.450741,88.469276,2013-03-23,Sikkim,East Sikkim,mudflow,monsoonal_rain,high,isro_atlas_synthetic,simulated,1,1.19,0.91,1.39,7.71,18.01,29.5,1.194,gpm_synthetic,,,,,,,,,,,,,16,0.0,217.0,3.59,0.17,0.16,1
CE-00054,27.46899,88.370076,2015-05-06,Sikkim,East Sikkim,rotational_slide,unknown,medium,isro_atlas_synthetic,simulated,1,0.68,13.6,1.96,28.68,60.6,74.59,0.679,gpm_synthetic,,,,,,,,,,,,,16,0.0,115.0,7.44,0.05,1.97,1
CE-00055,27.127606,95.317311,2019-06-06,Arunachal Pradesh,Lohit,rotational_slide,monsoonal_rain,high,isro_atlas_synthetic,simulated,1,0.03,9.93,17.9,18.39,43.29,55.74,0.032,gpm_synthetic,,,,,,,,,,,,,4,0.0,507.0,3.97,7.21,4.53,1
CE-00056,25.558154,90.771175,1999-09-24,Meghalaya,West Khasi Hills,rockfall,rain,low,isro_atlas_synthetic,simulated,1,1.04,1.62,10.64,11.85,15.31,27.75,1.035,gpm_synthetic,,,,,,,,,,,,,4,0.0,177.0,2.64,5.49,2.14,1
CE-00057,24.77928,94.54204,2022-08-18,Manipur,Senapati,rockfall,monsoonal_rain,low,isro_atlas_synthetic,simulated,1,0.2,0.27,0.13,2.55,4.35,7.71,0.197,gpm_synthetic,,,,,,,,,,,,,6,0.0,1001.0,8.05,6.13,0.35,1
CE-00058,24.599888,93.974617,2012-05-26,Manipur,Ukhrul,translational_slide,rain_and_snowmelt,medium,isro_atlas_synthetic,simulated,1,1.09,1.31,5.99,11.84,13.92,45.52,1.093,gpm_synthetic,,,,,,,,,,,,,8,0.0,79.0,8.2,3.99,1.73,1
CE-00059,26.817047,92.889038,2000-07-09,Arunachal Pradesh,Papum Pare,rotational_slide,human_activity,medium,isro_atlas_synthetic,simulated,1,16.7,33.0,305.25,227.98,369.67,457.85,16.702,gpm_synthetic,,,,,,,,,,,,,9,0.0,972.0,9.22,1.31,2.56,1
CE-00060,26.858814,93.044153,2008-02-09,Arunachal Pradesh,Papum Pare,rotational_slide,rain_and_snowmelt,medium,isro_atlas_synthetic,simulated,1,0.03,1.37,11.89,2.98,6.06,6.35,0.026,gpm_synthetic,,,,,,,,,,,,,6,0.0,938.0,7.5,7.56,0.15,1
CE-00061,27.332886,95.301001,2012-09-18,Arunachal Pradesh,Lohit,rockfall,unknown,low,isro_atlas_synthetic,simulated,1,5.99,9.11,0.98,50.84,61.0,95.85,5.987,gpm_synthetic,,,,,,,,,,,,,7,0.0,274.0,0.7,1.67,8.26,1
CE-00062,26.563006,94.130329,2008-09-14,Assam,Dima Hasao,debris_flow,monsoonal_rain,high,isro_atlas_synthetic,simulated,1,0.17,6.47,7.37,10.89,15.13,59.7,0.173,gpm_synthetic,,,,,,,,,,,,,16,0.0,1514.0,3.59,0.51,0.05,1
CE-00063,26.649935,93.907225,2011-08-23,Nagaland,Dimapur,debris_flow,rain,low,isro_atlas_synthetic,simulated,1,5.46,49.37,38.17,190.56,215.0,472.43,5.462,gpm_synthetic,,,,,,,,,,,,,13,0.0,124.0,2.35,0.89,0.54,1
CE-00064,27.190306,88.517065,1999-07-05,Sikkim,East Sikkim,mudflow,rain,high,isro_atlas_synthetic,simulated,1,0.18,0.17,1.75,5.3,8.14,13.71,0.184,gpm_synthetic,,,,,,,,,,,,,13,0.0,37.0,5.14,4.13,3.47,1
CE-00065,26.136131,94.326806,2019-05-17,Nagaland,Kohima,rotational_slide,monsoonal_rain,medium,isro_atlas_synthetic,simulated,1,1.49,8.71,4.73,51.43,78.46,323.62,1.49,gpm_synthetic,,,,,,,,,,,,,8,0.0,379.0,3.12,1.34,1.15,1
CE-00066,24.905481,94.193833,2017-07-20,Manipur,Chandel,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,1.0,90.33,135.43,183.69,396.33,1271.44,1.001,gpm_synthetic,,,,,,,,,,,,,12,0.0,149.0,2.63,0.72,0.12,1
CE-00067,26.331876,93.832953,2011-12-23,Nagaland,Dimapur,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,0.6,7.6,10.67,14.12,17.52,53.59,0.601,gpm_synthetic,,,,,,,,,,,,,11,0.0,574.0,12.06,10.08,0.89,1
CE-00068,22.874123,92.746286,2001-09-03,Mizoram,Lunglei,rotational_slide,rain_and_snowmelt,medium,isro_atlas_synthetic,simulated,1,1.52,4.58,4.97,25.22,31.65,32.23,1.524,gpm_synthetic,,,,,,,,,,,,,7,0.0,805.0,0.74,11.28,0.84,1
CE-00069,26.303552,93.672325,2002-07-07,Assam,Karbi Anglong,mudflow,earthquake,medium,isro_atlas_synthetic,simulated,1,5.21,18.25,58.21,165.88,297.4,551.04,5.209,gpm_synthetic,,,,,,,,,,,,,10,0.0,564.0,6.94,2.81,0.34,1
CE-00070,27.471834,91.971794,2000-08-18,Arunachal Pradesh,Tawang,translational_slide,unknown,medium,isro_atlas_synthetic,simulated,1,2.01,9.43,47.15,35.58,37.59,107.15,2.009,gpm_synthetic,,,,,,,,,,,,,7,0.0,151.0,1.32,1.27,2.01,1
CE-00071,26.219764,94.419228,2007-08-23,Nagaland,Kohima,translational_slide,rain,high,isro_atlas_synthetic,simulated,1,4.64,1.13,14.2,73.09,80.24,154.13,4.642,gpm_synthetic,,,,,,,,,,,,,9,0.0,336.0,2.89,4.11,1.82,1
CE-00072,25.043562,94.275137,2020-08-10,Manipur,Chandel,rotational_slide,rain,medium,isro_atlas_synthetic,simulated,1,1.96,59.26,225.14,178.83,282.24,600.64,1.964,gpm_synthetic,,,,,,,,,,,,,14,0.0,230.0,2.5,10.56,0.54,1
CE-00073,23.565416,91.438753,2020-06-10,Tripura,Gomati,translational_slide,monsoonal_rain,low,isro_atlas_synthetic,simulated,1,11.86,26.86,144.33,137.9,194.2,335.65,11.856,gpm_synthetic,,,,,,,,,,,,,11,0.0,324.0,1.88,1.14,1.92,1
CE-00074,24.549239,93.653657,2005-09-08,Manipur,Ukhrul,translational_slide,monsoonal_rain,medium,isro_atlas_synthetic,simulated,1,5.39,9.9,45.87,66.09,99.62,190.01,5.388,gpm_synthetic,,,,,,,,,,,,,7,0.0,1018.0,2.01,5.65,0.36,1
CE-00075,27.630716,88.601664,2009-12-20,Sikkim,North Sikkim,rotational_slide,rain,high,isro_atlas_synthetic,simulated,1,0.28,0.78,16.78,25.38,38.0,281.01,0.283,gpm_synthetic,,,,,,,,,,,,,5,0.0,562.0,8.83,1.28,1.95,1
CE-00076,25.470044,91.026552,2016-12-18,Meghalaya,West Khasi Hills,debris_flow,rain,very_high,isro_atlas_synthetic,simulated,1,1.4,2.32,0.31,12.66,20.76,27.09,1.399,gpm_synthetic,,,,,,,,,,,,,9,0.0,1123.0,9.42,7.6,0.45,1
CE-00077,23.423246,91.411935,2016-09-02,Tripura,Gomati,mudflow,monsoonal_rain,medium,isro_atlas_synthetic,simulated,1,5.26,5.35,10.97,32.07,42.85,195.72,5.261,gpm_synthetic,,,,,,,,,,,,,6,0.0,32.0,6.22,5.98,0.06,1
CE-00078,25.355788,91.546841,2022-08-03,Assam,Kamrup,rockfall,monsoonal_rain,high,isro_atlas_synthetic,simulated,1,0.34,0.88,2.91,12.12,20.34,34.28,0.341,gpm_synthetic,,,,,,,,,,,,,11,0.0,26.0,1.23,1.65,0.14,1
CE-00079,25.436351,92.474349,1998-09-03,Assam,Cachar,translational_slide,unknown,high,isro_atlas_synthetic,simulated,1,7.75,15.87,39.59,125.21,161.02,376.13,7.754,gpm_synthetic,,,,,,,,,,,,,10,0.0,327.0,15.0,5.19,0.43,1
CE-00080,26.650436,93.774482,2016-08-07,Nagaland,Dimapur,rotational_slide,rain,high,isro_atlas_synthetic,simulated,1,25.93,7.43,109.83,137.96,161.46,696.77,25.928,gpm_synthetic,,,,,,,,,,,,,7,0.0,1774.0,8.6,0.37,0.8,1
CE-00081,25.264804,92.650678,2014-09-25,Assam,Cachar,rotational_slide,rain,low,isro_atlas_synthetic,simulated,1,1.8,17.59,76.85,71.05,87.63,371.9,1.803,gpm_synthetic,,,,,,,,,,,,,7,0.0,172.0,5.98,2.21,0.56,1
CE-00082,26.199472,94.74516,2019-06-11,Nagaland,Mokokchung,mudflow,rain,high,isro_atlas_synthetic,simulated,1,6.27,22.36,25.89,48.37,66.54,231.43,6.268,gpm_synthetic,,,,,,,,,,,,,14,0.0,1209.0,7.02,0.28,4.22,1
CE-00083,23.80882,92.653716,2006-07-27,Mizoram,Champhai,rotational_slide,rain,medium,isro_atlas_synthetic,simulated,1,1.2,73.15,40.02,159.2,237.97,250.51,1.204,gpm_synthetic,,,,,,,,,,,,,6,0.0,584.0,1.41,5.15,4.77,1
CE-00084,26.500441,92.847606,2022-11-11,Arunachal Pradesh,East Kameng,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,1.77,16.87,69.86,57.34,86.71,129.75,1.768,gpm_synthetic,,,,,,,,,,,,,9,0.0,390.0,3.14,3.23,2.22,1
CE-00085,27.15099,94.958834,1999-08-13,Arunachal Pradesh,Lohit,rotational_slide,rain_and_snowmelt,low,isro_atlas_synthetic,simulated,1,2.85,3.36,4.07,30.14,66.08,76.46,2.853,gpm_synthetic,,,,,,,,,,,,,8,0.0,483.0,3.19,3.81,0.47,1
CE-00086,23.520428,91.49227,2016-06-25,Tripura,Gomati,mudflow,monsoonal_rain,low,isro_atlas_synthetic,simulated,1,1.4,1.0,90.29,76.8,205.14,464.14,1.397,gpm_synthetic,,,,,,,,,,,,,11,0.0,723.0,1.24,0.88,1.02,1
CE-00087,23.545372,91.67672,2016-06-09,Tripura,Gomati,debris_flow,rain,low,isro_atlas_synthetic,simulated,1,0.14,2.52,8.86,29.51,61.79,396.61,0.137,gpm_synthetic,,,,,,,,,,,,,6,0.0,471.0,4.02,3.81,1.25,1
CE-00088,27.630745,91.945987,2005-07-22,Arunachal Pradesh,Tawang,mudflow,monsoonal_rain,medium,isro_atlas_synthetic,simulated,1,0.69,3.26,23.85,36.48,47.95,67.56,0.688,gpm_synthetic,,,,,,,,,,,,,9,0.0,757.0,1.91,6.47,1.07,1
CE-00089,25.701277,92.843795,2018-08-05,Assam,Cachar,rotational_slide,human_activity,low,isro_atlas_synthetic,simulated,1,3.08,3.47,17.5,34.14,35.94,46.73,3.083,gpm_synthetic,,,,,,,,,,,,,16,0.0,1194.0,1.34,4.45,0.51,1
CE-00090,26.266486,94.467921,2010-04-26,Nagaland,Mokokchung,debris_flow,rain,low,isro_atlas_synthetic,simulated,1,0.05,0.25,3.24,4.25,4.4,5.49,0.051,gpm_synthetic,,,,,,,,,,,,,12,0.0,637.0,12.21,4.91,0.51,1
CE-00091,23.508044,91.506285,2009-05-02,Tripura,Gomati,translational_slide,rain,medium,isro_atlas_synthetic,simulated,1,0.72,0.03,5.42,12.87,16.64,26.02,0.72,gpm_synthetic,,,,,,,,,,,,,11,0.0,17.0,7.19,2.15,4.58,1
CE-00092,24.901036,94.047063,2003-01-12,Manipur,Chandel,rotational_slide,rain,low,isro_atlas_synthetic,simulated,1,0.23,3.35,6.19,23.59,39.73,104.58,0.227,gpm_synthetic,,,,,,,,,,,,,5,0.0,317.0,14.21,0.33,1.23,1
CE-00093,27.294751,95.116547,2010-09-12,Arunachal Pradesh,Lohit,rotational_slide,rain,high,isro_atlas_synthetic,simulated,1,3.25,11.04,4.9,29.17,29.37,135.1,3.25,gpm_synthetic,,,,,,,,,,,,,8,0.0,474.0,0.89,1.33,0.23,1
CE-00094,23.389932,92.791629,2004-07-07,Mizoram,Aizawl,rotational_slide,rain,very_high,isro_atlas_synthetic,simulated,1,6.29,3.16,75.32,126.9,164.63,208.53,6.294,gpm_synthetic,,,,,,,,,,,,,9,0.0,97.0,3.83,0.25,4.06,1
CE-00095,27.325227,88.173687,2015-11-04,Sikkim,North Sikkim,mudflow,rain,low,isro_atlas_synthetic,simulated,1,0.02,14.37,9.01,17.11,22.87,36.42,0.017,gpm_synthetic,,,,,,,,,,,,,11,0.0,558.0,3.94,3.36,1.06,1
