event_id,latitude,longitude,ndvi,land_cover,data_source,data_quality
ISRO-2017-0044,25.147557,94.323014,0.074,bare_soil,sentinel2_synthetic,simulated
ISRO-2012-0045,27.036215,92.982993,0.65,agriculture,sentinel2_synthetic,simulated
ISRO-2021-0046,26.809867,92.808552,0.706,dense_forest,sentinel2_synthetic,simulated
ISRO-2006-0047,26.399183,94.631266,0.748,dense_forest,sentinel2_synthetic,simulated
ISRO-2021-0048,27.268952,95.14166,0.431,scrubland,sentinel2_synthetic,simulated
ISRO-2007-0049,27.243316,93.10888,0.879,dense_forest,sentinel2_synthetic,simulated
ISRO-2012-0050,25.393048,91.856151,0.876,dense_forest,sentinel2_synthetic,simulated
ISRO-2005-0051,27.809221,91.940647,0.371,degraded_forest,sentinel2_synthetic,simulated
ISRO-2000-0052,28.349552,94.782842,0.64,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0053,25.138384,93.949102,0.884,dense_forest,sentinel2_synthetic,simulated
ISRO-2013-0054,27.450741,88.469276,0.272,scrubland,sentinel2_synthetic,simulated
ISRO-2015-0055,27.46899,88.370076,0.767,dense_forest,sentinel2_synthetic,simulated
ISRO-2019-0056,27.127606,95.317311,0.399,degraded_forest,sentinel2_synthetic,simulated
ISRO-1999-0057,25.558154,90.771175,0.827,dense_forest,sentinel2_synthetic,simulated
ISRO-2022-0058,24.77928,94.54204,0.843,dense_forest,sentinel2_synthetic,simulated
ISRO-2012-0059,24.599888,93.974617,0.134,bare_soil,sentinel2_synthetic,simulated
ISRO-2000-0060,26.817047,92.889038,0.84,dense_forest,sentinel2_synthetic,simulated
ISRO-2008-0061,26.858814,93.044153,0.217,scrubland,sentinel2_synthetic,simulated
ISRO-2012-0062,27.332886,95.301001,0.716,dense_forest,sentinel2_synthetic,simulated
ISRO-2008-0063,26.563006,94.130329,0.55,degraded_forest,sentinel2_synthetic,simulated
ISRO-2011-0064,26.649935,93.907225,0.381,scrubland,sentinel2_synthetic,simulated
ISRO-1999-0065,27.190306,88.517065,0.894,dense_forest,sentinel2_synthetic,simulated
ISRO-2019-0066,26.136131,94.326806,0.333,agriculture,sentinel2_synthetic,simulated
ISRO-2017-0067,24.905481,94.193833,0.124,bare_soil,sentinel2_synthetic,simulated
ISRO-2011-0068,26.331876,93.832953,0.852,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0069,22.874123,92.746286,0.378,scrubland,sentinel2_synthetic,simulated
ISRO-2002-0070,26.303552,93.672325,0.607,dense_forest,sentinel2_synthetic,simulated
ISRO-2000-0071,27.471834,91.971794,0.137,bare_soil,sentinel2_synthetic,simulated
ISRO-2007-0072,26.219764,94.419228,0.54,degraded_forest,sentinel2_synthetic,simulated
ISRO-2020-0073,25.043562,94.275137,0.151,grassland,sentinel2_synthetic,simulated
ISRO-2020-0074,23.565416,91.438753,0.622,dense_forest,sentinel2_synthetic,simulated
ISRO-2005-0075,24.549239,93.653657,0.104,built_up,sentinel2_synthetic,simulated
ISRO-2009-0076,27.630716,88.601664,0.586,degraded_forest,sentinel2_synthetic,simulated
ISRO-2016-0077,25.470044,91.026552,0.512,degraded_forest,sentinel2_synthetic,simulated
ISRO-2016-0078,23.423246,91.411935,0.131,built_up,sentinel2_synthetic,simulated
ISRO-2022-0079,25.355788,91.546841,0.473,degraded_forest,sentinel2_synthetic,simulated
ISRO-1998-0080,25.436351,92.474349,0.323,scrubland,sentinel2_synthetic,simulated
ISRO-2016-0081,26.650436,93.774482,0.547,degraded_forest,sentinel2_synthetic,simulated
ISRO-2014-0082,25.264804,92.650678,0.566,degraded_forest,sentinel2_synthetic,simulated
ISRO-2019-0083,26.199472,94.74516,0.042,water,sentinel2_synthetic,simulated
ISRO-2006-0084,23.80882,92.653716,0.824,dense_forest,sentinel2_synthetic,simulated
ISRO-2022-0085,26.500441,92.847606,0.513,degraded_forest,sentinel2_synthetic,simulated
ISRO-1999-0086,27.15099,94.958834,0.89,dense_forest,sentinel2_synthetic,simulated
ISRO-2016-0087,23.520428,91.49227,0.663,agriculture,sentinel2_synthetic,simulated
ISRO-2016-0088,23.545372,91.67672,0.709,dense_forest,sentinel2_synthetic,simulated
ISRO-2005-0089,27.630745,91.945987,0.49,degraded_forest,sentinel2_synthetic,simulated
ISRO-2018-0090,25.701277,92.843795,0.51,agriculture,sentinel2_synthetic,simulated
ISRO-2010-0091,26.266486,94.467921,0.214,agriculture,sentinel2_synthetic,simulated
ISRO-2009-0092,23.508044,91.506285,0.645,dense_forest,sentinel2_synthetic,simulated
ISRO-2003-0093,24.901036,94.047063,0.628,agriculture,sentinel2_synthetic,simulated
ISRO-2010-0094,27.294751,95.116547,0.258,scrubland,sentinel2_synthetic,simulated
ISRO-2004-0095,23.389932,92.791629,0.336,grassland,sentinel2_synthetic,simulated
ISRO-2015-0096,27.325227,88.173687,0.282,grassland,sentinel2_synthetic,simulated
ISRO-2000-0097,27.060075,92.870819,0.49,scrubland,sentinel2_synthetic,simulated
ISRO-2013-0098,25.331372,91.136469,0.036,water,sentinel2_synthetic,simulated
ISRO-2022-0099,27.130768,88.45658,0.817,dense_forest,sentinel2_synthetic,simulated
ISRO-2005-0100,22.689054,92.564917,0.681,dense_forest,sentinel2_synthetic,simulated
ISRO-2016-0101,26.008577,94.09501,0.603,degraded_forest,sentinel2_synthetic,simulated
ISRO-2010-0102,26.545887,94.452004,0.39,agriculture,sentinel2_synthetic,simulated
ISRO-2020-0103,27.3181,95.260896,0.44,agriculture,sentinel2_synthetic,simulated
ISRO-2018-0104,23.25908,91.647857,0.843,dense_forest,sentinel2_synthetic,simulated
ISRO-2007-0105,25.58881,91.112885,0.429,degraded_forest,sentinel2_synthetic,simulated
ISRO-1998-0106,23.948014,91.310115,0.762,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0107,25.530775,91.939221,0.496,scrubland,sentinel2_synthetic,simulated
ISRO-2016-0108,27.689183,88.339526,0.549,agriculture,sentinel2_synthetic,simulated
ISRO-2000-0109,25.201987,94.282786,0.245,scrubland,sentinel2_synthetic,simulated
ISRO-2022-0110,26.438572,94.309656,0.226,grassland,sentinel2_synthetic,simulated
ISRO-2008-0111,24.550887,94.117691,0.627,degraded_forest,sentinel2_synthetic,simulated
ISRO-2002-0112,25.492281,91.319739,0.279,scrubland,sentinel2_synthetic,simulated
ISRO-2004-0113,25.251044,91.242883,0.258,grassland,sentinel2_synthetic,simulated
ISRO-2021-0114,27.37626,95.197753,0.38,agriculture,sentinel2_synthetic,simulated
ISRO-2020-0115,26.542284,94.941183,0.319,scrubland,sentinel2_synthetic,simulated
ISRO-2000-0116,25.172898,94.158378,0.603,dense_forest,sentinel2_synthetic,simulated
ISRO-2012-0117,24.917565,94.298016,0.874,dense_forest,sentinel2_synthetic,simulated
ISRO-2021-0118,23.210328,92.898061,0.588,degraded_forest,sentinel2_synthetic,simulated
ISRO-2009-0119,27.972629,94.805123,0.584,degraded_forest,sentinel2_synthetic,simulated
ISRO-2004-0120,25.230627,91.62001,0.69,agriculture,sentinel2_synthetic,simulated
ISRO-2011-0121,24.467282,93.715877,0.321,scrubland,sentinel2_synthetic,simulated
ISRO-2011-0122,24.653859,94.276592,0.429,degraded_forest,sentinel2_synthetic,simulated
ISRO-2009-0123,28.050226,94.715943,0.129,bare_soil,sentinel2_synthetic,simulated
ISRO-2001-0124,27.510333,88.520694,0.227,grassland,sentinel2_synthetic,simulated
ISRO-2017-0125,22.755977,93.011892,0.765,dense_forest,sentinel2_synthetic,simulated
ISRO-1999-0126,27.479131,88.214515,0.802,dense_forest,sentinel2_synthetic,simulated
ISRO-2016-0127,24.48055,93.979976,0.716,dense_forest,sentinel2_synthetic,simulated
ISRO-2014-0128,27.473004,94.970127,0.277,grassland,sentinel2_synthetic,simulated
ISRO-2014-0129,26.40124,94.223768,0.293,scrubland,sentinel2_synthetic,simulated
ISRO-2010-0130,23.603543,92.65965,0.621,degraded_forest,sentinel2_synthetic,simulated
ISRO-2000-0131,27.383745,88.677759,0.591,agriculture,sentinel2_synthetic,simulated
ISRO-2019-0132,23.67334,91.383925,0.57,degraded_forest,sentinel2_synthetic,simulated
ISRO-2020-0133,27.051261,88.32104,0.253,scrubland,sentinel2_synthetic,simulated
ISRO-2006-0134,28.338064,94.649838,0.069,built_up,sentinel2_synthetic,simulated
ISRO-2009-0135,25.017969,94.576992,0.633,degraded_forest,sentinel2_synthetic,simulated
ISRO-2004-0136,27.506336,88.811937,0.482,scrubland,sentinel2_synthetic,simulated
ISRO-2010-0137,27.278226,95.070113,0.078,bare_soil,sentinel2_synthetic,simulated
ISRO-2003-0138,26.258028,94.080285,0.535,degraded_forest,sentinel2_synthetic,simulated
ISRO-2001-0139,25.637168,92.507852,0.331,agriculture,sentinel2_synthetic,simulated
ISRO-2013-0140,24.71645,94.140411,0.213,scrubland,sentinel2_synthetic,simulated
ISRO-2014-0141,26.305922,94.366265,0.621,dense_forest,sentinel2_synthetic,simulated
ISRO-2014-0142,26.546021,94.949711,0.662,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0143,26.062388,93.67571,0.368,agriculture,sentinel2_synthetic,simulated
ISRO-2008-0144,23.710773,91.42441,0.642,dense_forest,sentinel2_synthetic,simulated
ISRO-2000-0145,27.026763,88.31692,0.068,bare_soil,sentinel2_synthetic,simulated
ISRO-1998-0146,27.376129,95.361564,0.348,agriculture,sentinel2_synthetic,simulated
ISRO-2018-0147,24.796378,94.047241,0.843,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0148,26.133952,94.359595,0.876,dense_forest,sentinel2_synthetic,simulated
ISRO-2002-0149,26.561554,92.749253,0.229,scrubland,sentinel2_synthetic,simulated
ISRO-2019-0150,26.637798,92.986429,0.377,scrubland,sentinel2_synthetic,simulated
ISRO-2012-0151,27.625454,91.964273,0.551,degraded_forest,sentinel2_synthetic,simulated
ISRO-2004-0152,22.859328,92.928955,0.777,dense_forest,sentinel2_synthetic,simulated
ISRO-2005-0153,26.432048,92.888326,0.023,built_up,sentinel2_synthetic,simulated
ISRO-2002-0154,26.495132,94.684978,0.3,grassland,sentinel2_synthetic,simulated
ISRO-2002-0155,25.389764,91.957046,0.319,agriculture,sentinel2_synthetic,simulated
ISRO-2019-0156,22.810199,92.730379,0.604,dense_forest,sentinel2_synthetic,simulated
ISRO-2020-0157,26.514833,94.499916,0.4,degraded_forest,sentinel2_synthetic,simulated
ISRO-2016-0158,23.659904,91.61303,0.319,scrubland,sentinel2_synthetic,simulated
ISRO-2012-0159,27.453095,95.035171,0.837,dense_forest,sentinel2_synthetic,simulated
ISRO-2007-0160,26.342376,94.514026,0.6,dense_forest,sentinel2_synthetic,simulated
ISRO-2006-0161,23.354335,92.66576,0.663,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0162,26.133967,93.880909,0.692,dense_forest,sentinel2_synthetic,simulated
ISRO-2000-0163,25.333031,91.111557,0.689,dense_forest,sentinel2_synthetic,simulated
ISRO-2018-0164,25.713752,91.048697,0.153,grassland,sentinel2_synthetic,simulated
ISRO-2012-0165,26.952309,88.069271,0.689,dense_forest,sentinel2_synthetic,simulated
ISRO-2010-0166,25.482879,92.452737,0.244,grassland,sentinel2_synthetic,simulated
ISRO-2004-0167,27.930294,94.837454,0.43,degraded_forest,sentinel2_synthetic,simulated
ISRO-2002-0168,27.547136,88.589074,0.876,dense_forest,sentinel2_synthetic,simulated
ISRO-2022-0169,22.953606,92.76249,0.151,built_up,sentinel2_synthetic,simulated
ISRO-2005-0170,28.001898,94.887167,0.413,degraded_forest,sentinel2_synthetic,simulated
ISRO-2014-0171,22.838367,92.859357,0.67,dense_forest,sentinel2_synthetic,simulated
ISRO-2002-0172,25.622071,90.098405,0.605,dense_forest,sentinel2_synthetic,simulated
ISRO-2014-0173,23.585705,92.767117,0.351,scrubland,sentinel2_synthetic,simulated
ISRO-2021-0174,25.0702,92.202899,0.173,grassland,sentinel2_synthetic,simulated
ISRO-2000-0175,26.979912,88.467354,0.739,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0176,26.081559,94.934376,0.802,dense_forest,sentinel2_synthetic,simulated
ISRO-2019-0177,23.803922,92.66501,-0.054,water,sentinel2_synthetic,simulated
ISRO-2011-0178,26.121748,94.099461,0.601,dense_forest,sentinel2_synthetic,simulated
ISRO-2007-0179,26.045753,93.694877,0.83,dense_forest,sentinel2_synthetic,simulated
ISRO-1998-0180,27.128762,95.05291,0.384,grassland,sentinel2_synthetic,simulated
ISRO-2003-0181,27.874559,94.526801,0.633,degraded_forest,sentinel2_synthetic,simulated
ISRO-2013-0182,23.550934,92.650292,0.3,agriculture,sentinel2_synthetic,simulated
ISRO-2003-0183,25.268921,92.322847,0.724,dense_forest,sentinel2_synthetic,simulated
ISRO-2014-0184,26.486427,92.76738,0.51,degraded_forest,sentinel2_synthetic,simulated
ISRO-2000-0185,27.298824,88.609775,0.2,scrubland,sentinel2_synthetic,simulated
ISRO-2008-0186,26.983413,88.346478,0.29,scrubland,sentinel2_synthetic,simulated
ISRO-2020-0187,25.287781,91.880165,0.388,degraded_forest,sentinel2_synthetic,simulated
ISRO-2019-0188,26.565533,94.123837,0.03,bare_soil,sentinel2_synthetic,simulated
ISRO-2018-0189,22.902881,92.918287,0.62,dense_forest,sentinel2_synthetic,simulated
ISRO-2013-0190,24.923635,94.597344,0.612,degraded_forest,sentinel2_synthetic,simulated
ISRO-2005-0191,24.514696,94.091413,0.816,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0192,26.186715,94.604167,0.721,dense_forest,sentinel2_synthetic,simulated
ISRO-2017-0193,25.623995,92.857537,0.759,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0194,25.44603,92.570464,0.443,scrubland,sentinel2_synthetic,simulated
ISRO-2005-0195,26.134636,94.367999,0.715,dense_forest,sentinel2_synthetic,simulated
ISRO-2022-0196,22.956758,92.99489,0.725,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0197,23.397157,92.653681,0.407,degraded_forest,sentinel2_synthetic,simulated
ISRO-2017-0198,26.673918,94.447412,0.44,grassland,sentinel2_synthetic,simulated
ISRO-2013-0199,27.519403,88.52232,0.725,dense_forest,sentinel2_synthetic,simulated
ISRO-2021-0200,22.85144,92.96706,0.57,agriculture,sentinel2_synthetic,simulated
ISRO-2020-0201,27.020028,88.388854,0.419,scrubland,sentinel2_synthetic,simulated
ISRO-2008-0202,27.566258,91.676517,0.807,dense_forest,sentinel2_synthetic,simulated
ISRO-1998-0203,23.735584,92.747039,0.806,dense_forest,sentinel2_synthetic,simulated
ISRO-2007-0204,27.123538,92.935772,0.631,degraded_forest,sentinel2_synthetic,simulated
ISRO-2014-0205,25.595201,91.241494,0.168,grassland,sentinel2_synthetic,simulated
ISRO-2016-0206,27.098894,95.184116,0.889,dense_forest,sentinel2_synthetic,simulated
ISRO-2020-0207,26.65136,94.083015,0.769,dense_forest,sentinel2_synthetic,simulated
ISRO-2003-0208,23.973336,91.249598,0.686,dense_forest,sentinel2_synthetic,simulated
ISRO-2020-0209,24.675499,94.07419,0.218,scrubland,sentinel2_synthetic,simulated
ISRO-2016-0210,25.314147,91.140419,0.665,dense_forest,sentinel2_synthetic,simulated
ISRO-2016-0211,23.660253,91.724676,0.525,degraded_forest,sentinel2_synthetic,simulated
ISRO-2012-0212,25.447551,91.143446,0.643,dense_forest,sentinel2_synthetic,simulated
ISRO-2002-0213,26.447616,94.930313,0.633,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0214,23.943314,92.296904,0.301,grassland,sentinel2_synthetic,simulated
ISRO-2022-0215,23.591765,92.60066,0.377,degraded_forest,sentinel2_synthetic,simulated
ISRO-1998-0216,23.660079,91.405959,0.828,dense_forest,sentinel2_synthetic,simulated
ISRO-1998-0217,26.448218,94.222574,0.506,agriculture,sentinel2_synthetic,simulated
ISRO-2020-0218,26.357962,94.015646,0.704,dense_forest,sentinel2_synthetic,simulated
ISRO-2015-0219,25.06778,94.221997,0.657,dense_forest,sentinel2_synthetic,simulated
ISRO-2020-0220,27.755876,91.724782,0.178,built_up,sentinel2_synthetic,simulated
ISRO-2006-0221,27.134567,88.455886,0.536,degraded_forest,sentinel2_synthetic,simulated
ISRO-2001-0222,27.763627,91.84012,0.184,built_up,sentinel2_synthetic,simulated
ISRO-2015-0223,23.773696,91.223032,0.379,scrubland,sentinel2_synthetic,simulated
ISRO-2004-0224,26.671035,93.915101,0.239,grassland,sentinel2_synthetic,simulated
ISRO-2003-0225,26.594451,94.204898,0.617,degraded_forest,sentinel2_synthetic,simulated
ISRO-2013-0226,25.061773,93.91754,0.45,scrubland,sentinel2_synthetic,simulated
ISRO-2008-0227,27.893356,94.561184,0.853,dense_forest,sentinel2_synthetic,simulated
ISRO-2017-0228,27.586278,91.799597,0.634,dense_forest,sentinel2_synthetic,simulated
ISRO-2016-0229,23.285925,91.607844,0.546,agriculture,sentinel2_synthetic,simulated
ISRO-2009-0230,25.340442,90.858458,0.694,dense_forest,sentinel2_synthetic,simulated
ISRO-1998-0231,26.234991,94.327142,0.26,grassland,sentinel2_synthetic,simulated
ISRO-2008-0232,25.529822,91.26534,0.351,scrubland,sentinel2_synthetic,simulated
ISRO-2003-0233,26.193446,94.575217,0.291,scrubland,sentinel2_synthetic,simulated
ISRO-2013-0234,25.579985,91.616467,0.429,degraded_forest,sentinel2_synthetic,simulated
ISRO-2022-0235,25.742523,92.903053,0.293,agriculture,sentinel2_synthetic,simulated
ISRO-2010-0236,26.468335,92.754162,0.061,bare_soil,sentinel2_synthetic,simulated
ISRO-2019-0237,25.473141,90.863934,0.809,dense_forest,sentinel2_synthetic,simulated
ISRO-2014-0238,25.387516,92.482473,0.271,scrubland,sentinel2_synthetic,simulated
ISRO-2013-0239,25.472344,90.971426,0.022,water,sentinel2_synthetic,simulated
ISRO-2020-0240,23.424747,92.52502,0.13,bare_soil,sentinel2_synthetic,simulated
ISRO-2010-0241,27.400136,88.388616,0.486,scrubland,sentinel2_synthetic,simulated
ISRO-1998-0242,24.769589,94.472005,0.038,water,sentinel2_synthetic,simulated
ISRO-2009-0243,27.551703,88.272783,0.109,bare_soil,sentinel2_synthetic,simulated
ISRO-2018-0244,27.212843,92.850674,0.592,degraded_forest,sentinel2_synthetic,simulated
ISRO-2017-0245,27.735101,88.602951,0.567,degraded_forest,sentinel2_synthetic,simulated
ISRO-2013-0246,23.758627,91.335921,0.71,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0247,25.504915,90.906107,0.808,dense_forest,sentinel2_synthetic,simulated
ISRO-2009-0248,26.421284,94.617073,0.286,agriculture,sentinel2_synthetic,simulated
ISRO-2013-0249,23.613335,92.578947,0.564,agriculture,sentinel2_synthetic,simulated
ISRO-2006-0250,27.285622,88.387653,0.449,scrubland,sentinel2_synthetic,simulated
ISRO-2019-0251,25.373195,91.626488,0.87,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0252,26.193767,93.673686,0.792,dense_forest,sentinel2_synthetic,simulated
ISRO-2004-0253,25.266022,92.757193,0.386,degraded_forest,sentinel2_synthetic,simulated
ISRO-2009-0254,25.347036,91.555151,0.054,bare_soil,sentinel2_synthetic,simulated
ISRO-2006-0255,26.46064,93.800144,0.73,dense_forest,sentinel2_synthetic,simulated
ISRO-2005-0256,27.343778,88.366178,0.722,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0257,25.418143,91.243824,0.239,agriculture,sentinel2_synthetic,simulated
ISRO-2022-0258,26.987438,92.815461,0.657,dense_forest,sentinel2_synthetic,simulated
ISRO-2008-0259,25.915053,90.301206,0.486,degraded_forest,sentinel2_synthetic,simulated
ISRO-2004-0260,27.177738,92.944945,0.068,bare_soil,sentinel2_synthetic,simulated
ISRO-2007-0261,24.350092,93.990017,0.459,scrubland,sentinel2_synthetic,simulated
ISRO-2015-0262,26.083255,93.830649,0.32,scrubland,sentinel2_synthetic,simulated
ISRO-1998-0263,26.4973,93.811969,0.323,grassland,sentinel2_synthetic,simulated
ISRO-2013-0264,26.60518,94.306793,0.565,degraded_forest,sentinel2_synthetic,simulated
ISRO-2002-0265,26.356555,94.457062,0.054,bare_soil,sentinel2_synthetic,simulated
ISRO-2004-0266,25.166405,91.289677,0.62,degraded_forest,sentinel2_synthetic,simulated
ISRO-2000-0267,25.162602,91.251057,0.372,scrubland,sentinel2_synthetic,simulated
ISRO-2005-0268,23.93697,91.432378,0.25,scrubland,sentinel2_synthetic,simulated
ISRO-2005-0269,26.714621,93.797171,0.391,grassland,sentinel2_synthetic,simulated
ISRO-2017-0270,23.849611,92.551205,0.454,degraded_forest,sentinel2_synthetic,simulated
ISRO-2009-0271,23.582607,92.446368,0.0,water,sentinel2_synthetic,simulated
ISRO-2006-0272,26.501256,93.958872,0.301,scrubland,sentinel2_synthetic,simulated
ISRO-2008-0273,25.861956,90.178361,0.646,agriculture,sentinel2_synthetic,simulated
ISRO-2011-0274,23.634989,91.459114,0.646,dense_forest,sentinel2_synthetic,simulated
ISRO-2016-0275,24.579424,94.448928,0.29,grassland,sentinel2_synthetic,simulated
ISRO-2000-0276,25.018526,94.597364,0.732,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0277,25.102076,92.349883,0.84,dense_forest,sentinel2_synthetic,simulated
ISRO-2000-0278,27.414816,88.523747,0.469,scrubland,sentinel2_synthetic,simulated
ISRO-2020-0279,25.576654,90.402636,0.334,grassland,sentinel2_synthetic,simulated
ISRO-2000-0280,25.224926,94.224257,0.358,degraded_forest,sentinel2_synthetic,simulated
ISRO-2005-0281,25.080315,92.034439,0.178,grassland,sentinel2_synthetic,simulated
ISRO-2007-0282,25.322692,91.416953,0.363,scrubland,sentinel2_synthetic,simulated
ISRO-2020-0283,27.146836,92.779359,0.436,degraded_forest,sentinel2_synthetic,simulated
ISRO-2012-0284,24.813282,94.22576,0.179,grassland,sentinel2_synthetic,simulated
ISRO-2016-0285,25.171228,94.284527,0.629,dense_forest,sentinel2_synthetic,simulated
ISRO-2008-0286,25.144052,92.019512,0.282,grassland,sentinel2_synthetic,simulated
ISRO-2002-0287,27.196156,95.436035,0.461,degraded_forest,sentinel2_synthetic,simulated
ISRO-2016-0288,27.871588,94.452429,0.031,bare_soil,sentinel2_synthetic,simulated
ISRO-2008-0289,27.412322,88.410857,0.488,agriculture,sentinel2_synthetic,simulated
ISRO-2007-0290,24.340353,93.82606,0.161,grassland,sentinel2_synthetic,simulated
ISRO-1998-0291,27.083489,88.551637,0.319,grassland,sentinel2_synthetic,simulated
ISRO-2012-0292,26.998999,93.040219,0.413,degraded_forest,sentinel2_synthetic,simulated
ISRO-2019-0293,26.434786,94.233873,0.382,scrubland,sentinel2_synthetic,simulated
ISRO-2016-0294,27.383199,91.981274,0.541,degraded_forest,sentinel2_synthetic,simulated
ISRO-2003-0295,26.524137,93.963122,0.867,dense_forest,sentinel2_synthetic,simulated
ISRO-2018-0296,25.475875,90.288824,0.335,grassland,sentinel2_synthetic,simulated
ISRO-2007-0297,28.110722,94.681114,0.69,dense_forest,sentinel2_synthetic,simulated
ISRO-2019-0298,26.35106,94.516893,0.384,grassland,sentinel2_synthetic,simulated
ISRO-1999-0299,27.431126,95.443593,0.688,dense_forest,sentinel2_synthetic,simulated
ISRO-2006-0300,27.055467,88.647595,0.389,degraded_forest,sentinel2_synthetic,simulated
ISRO-2012-0301,23.546135,92.826537,0.286,grassland,sentinel2_synthetic,simulated
ISRO-2006-0302,27.715972,88.490948,0.135,bare_soil,sentinel2_synthetic,simulated
ISRO-2003-0303,24.513818,93.683687,0.521,degraded_forest,sentinel2_synthetic,simulated
ISRO-2020-0304,27.11285,92.78431,0.572,degraded_forest,sentinel2_synthetic,simulated
ISRO-2012-0305,27.411232,88.498637,0.633,dense_forest,sentinel2_synthetic,simulated
ISRO-2022-0306,24.630195,94.251203,0.369,agriculture,sentinel2_synthetic,simulated
